unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
earlymodern_door_mag_garden_gate_200,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maghrebi North African,gate,a flower-head cedar garden gate,cedar,VeryLarge,Poor,40200,210,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maghrebi North African; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mag_grille_201,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maghrebi North African,grille,a bird wrought iron metal grille,wrought iron,Large,Standard,42000,221,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maghrebi North African; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mag_strike_plate_202,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Maghrebi North African,strike plate,a star bronze strike plate,bronze,Small,Good,1350,95,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Maghrebi North African; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mag_hinge_pair_203,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Maghrebi North African,hinges,a bird brass hinge pair,brass,Small,Good,1435,103,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Maghrebi North African; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mag_keyring_204,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Maghrebi North African,keyring,a vine copper keyring,copper,Small,Standard,1520,111,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Maghrebi North African; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mag_escutcheon_205,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Maghrebi North African,escutcheon,a geometric pewter keyhole escutcheon,pewter,Small,VeryGood,160,119,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Maghrebi North African; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mag_warded_lock_206,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Maghrebi North African,lock,a cloud wrought iron warded lock,wrought iron,Small,Good,245,127,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Maghrebi North African; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mag_good_warded_lock_207,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Maghrebi North African,lock,a shell bronze fine warded lock,bronze,Small,Standard,330,135,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Good,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Maghrebi North African; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mag_master_warded_lock_208,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Maghrebi North African,lock,a reed brass master warded lock,brass,Small,Poor,415,143,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Master,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Maghrebi North African; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mag_warded_key_209,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Maghrebi North African,key,a rosette copper warded key,copper,Small,Standard,500,151,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Maghrebi North African; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_saf_panel_door_210,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,door,a sunburst oak door leaf,oak,Large,Good,24000,67,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_braced_door_211,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,door,a knotted pine braced door,pine,Large,Good,25800,78,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_lockable_door_212,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,door,a star cedar lockable door,cedar,Large,Standard,27600,89,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_secure_door_213,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,door,a vine teak secure door,teak,Large,VeryGood,29400,100,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_shutter_214,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,shutter,a cloud wood shuttered opening,wood,Large,Good,31200,111,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_screen_215,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,screen,a reed teak screen door,teak,Large,Standard,33000,122,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_lattice_gate_216,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,gate,a checker cedar lattice gate,cedar,VeryLarge,Poor,34800,133,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_courtyard_gate_217,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,gate,a radiating teak courtyard gate,teak,VeryLarge,Standard,36600,144,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_warehouse_gate_218,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,gate,a sunburst wrought iron warehouse gate,wrought iron,VeryLarge,Good,38400,155,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_garden_gate_219,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,gate,a knotted bronze garden gate,bronze,VeryLarge,Good,40200,166,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_grille_220,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Safavid post Safavid Persianate,grille,a star bronze metal grille,bronze,Large,Standard,42000,177,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_saf_strike_plate_221,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Safavid post Safavid Persianate,strike plate,a shell wrought iron strike plate,wrought iron,Small,VeryGood,1520,95,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_saf_hinge_pair_222,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Safavid post Safavid Persianate,hinges,a reed bronze hinge pair,bronze,Small,Good,160,103,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_saf_keyring_223,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Safavid post Safavid Persianate,keyring,a rosette brass keyring,brass,Small,Standard,245,111,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_saf_escutcheon_224,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Safavid post Safavid Persianate,escutcheon,a checker copper keyhole escutcheon,copper,Small,Poor,330,119,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_saf_warded_lock_225,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Safavid post Safavid Persianate,lock,a braided pewter warded lock,pewter,Small,Standard,415,127,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_saf_good_warded_lock_226,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Safavid post Safavid Persianate,lock,a radiating wrought iron fine warded lock,wrought iron,Small,Good,500,135,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Good,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_saf_master_warded_lock_227,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Safavid post Safavid Persianate,lock,a leaf-scroll bronze master warded lock,bronze,Small,Good,585,143,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Master,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_saf_warded_key_228,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Safavid post Safavid Persianate,key,a sunburst brass warded key,brass,Small,Standard,670,151,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Safavid post Safavid Persianate; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mug_panel_door_229,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,door,a reed cedar door leaf,cedar,Large,VeryGood,24000,276,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_braced_door_230,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,door,a checker teak braced door,teak,Large,Good,25800,287,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_lockable_door_231,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,door,a radiating wood lockable door,wood,Large,Standard,27600,45,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_secure_door_232,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,door,a sunburst oak secure door,oak,Large,Poor,29400,56,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_shutter_233,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,shutter,a knotted pine shuttered opening,pine,Large,Standard,31200,67,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_screen_234,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,screen,a star bamboo screen door,bamboo,Large,Good,33000,78,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_lattice_gate_235,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,gate,a vine wrought iron lattice gate,wrought iron,VeryLarge,Good,34800,89,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_courtyard_gate_236,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,gate,a cloud bronze courtyard gate,bronze,VeryLarge,Standard,36600,100,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_warehouse_gate_237,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,gate,a reed oak warehouse gate,oak,VeryLarge,VeryGood,38400,111,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_garden_gate_238,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,gate,a checker cedar garden gate,cedar,VeryLarge,Good,40200,122,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_grille_239,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Mughal Indo Persian,grille,a radiating brass metal grille,brass,Large,Standard,42000,133,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Mughal Indo Persian; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mug_strike_plate_240,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Mughal Indo Persian,strike plate,a star pewter strike plate,pewter,Small,Poor,245,95,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Mughal Indo Persian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mug_hinge_pair_241,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Mughal Indo Persian,hinges,a bird wrought iron hinge pair,wrought iron,Small,Standard,330,103,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Mughal Indo Persian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mug_keyring_242,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Mughal Indo Persian,keyring,a vine bronze keyring,bronze,Small,Good,415,111,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Mughal Indo Persian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mug_escutcheon_243,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Mughal Indo Persian,escutcheon,a geometric brass keyhole escutcheon,brass,Small,Good,500,119,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Mughal Indo Persian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mug_warded_lock_244,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Mughal Indo Persian,lock,a cloud copper warded lock,copper,Small,Standard,585,127,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Mughal Indo Persian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mug_good_warded_lock_245,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Mughal Indo Persian,lock,a shell pewter fine warded lock,pewter,Small,VeryGood,670,135,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Good,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Mughal Indo Persian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mug_master_warded_lock_246,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Mughal Indo Persian,lock,a reed wrought iron master warded lock,wrought iron,Small,Good,755,143,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Lock_Master,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Mughal Indo Persian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mug_warded_key_247,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,Mughal Indo Persian,key,a rosette bronze warded key,bronze,Small,Standard,840,151,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission Mughal Indo Persian; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
earlymodern_door_mrd_panel_door_248,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maratha Rajput Deccan,door,a knotted teak door leaf,teak,Large,Poor,24000,232,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maratha Rajput Deccan; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mrd_braced_door_249,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maratha Rajput Deccan,door,a star wood braced door,wood,Large,Standard,25800,243,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maratha Rajput Deccan; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mrd_lockable_door_250,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maratha Rajput Deccan,door,a vine oak lockable door,oak,Large,Good,27600,254,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maratha Rajput Deccan; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mrd_secure_door_251,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maratha Rajput Deccan,door,a cloud pine secure door,pine,Large,Good,29400,265,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maratha Rajput Deccan; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mrd_shutter_252,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maratha Rajput Deccan,shutter,a reed cedar shuttered opening,cedar,Large,Standard,31200,276,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maratha Rajput Deccan; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mrd_screen_253,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maratha Rajput Deccan,screen,a checker teak screen door,teak,Large,VeryGood,33000,287,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maratha Rajput Deccan; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mrd_lattice_gate_254,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maratha Rajput Deccan,gate,a radiating bronze lattice gate,bronze,VeryLarge,Good,34800,45,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maratha Rajput Deccan; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mrd_courtyard_gate_255,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maratha Rajput Deccan,gate,a sunburst oak courtyard gate,oak,VeryLarge,Standard,36600,56,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maratha Rajput Deccan; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_mrd_warehouse_gate_256,Early Modern,Early Modern,"Doors, locks & gates",door or gate,Maratha Rajput Deccan,gate,a knotted cedar warehouse gate,cedar,VeryLarge,Poor,38400,67,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission Maratha Rajput Deccan; availability Early Modern. Door behaviour is limited to the attached supported component profile."
