stable_reference	source_file	source_line	source_scope	kind	family	disposition	rationale	review_status
medieval_food_persianate_herb_kuku	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	110	Medieval	Prepared	Egg	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_persianate_fruit_meatballs	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	111	Medieval	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_persianate_rice_crust_platter	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	112	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_persianate_sour_cherry_rice	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	113	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_court_couscous_meat_pyramid	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	114	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_fasting_couscous_fruit_mound	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	115	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_itriyya_meat_broth_noodles	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	116	Medieval	Prepared	Noodle	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_itriyya_almond_fast_noodles	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	117	Medieval	Prepared	Noodle	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_tutmaj_yogurt_noodles	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	118	Medieval	Prepared	Noodle	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_shishbarak_meat_dumplings	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	119	Medieval	Prepared	Dumpling	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_manti_yogurt_dumpling_platter	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	120	Medieval	Prepared	Dumpling	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sultanate_spiced_rice_pilaf	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	121	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sultanate_almond_chicken_rice	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	122	Medieval	Prepared	Poultry	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_temple_ghee_rice_offering	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	123	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_temple_sweet_rice_payasa	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	124	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_jaggery_like_millet_payasa	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	125	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_fermented_steamed_idli_cakes	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	126	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_medieval_fermented_dosa_scroll	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	127	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_appam_fermented_bowl_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	128	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_temple_black_gram_vada	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	129	Medieval	Prepared	Pulse	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sultanate_stuffed_samosa	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	130	Medieval	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_temple_coconut_like_modaka	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	131	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_steamed_jaggery_rice_dumplings	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	132	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sweet_pulse_stuffed_poli	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	133	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_royal_spiced_khichri	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	134	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_monastic_plain_khichri	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	135	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sour_tamarind_rice_offering	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	136	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_curd_rice_temple_bowl	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	137	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_leaf_steamed_spiced_fish_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	138	Medieval	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sultanate_almond_meat_halwa	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	139	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_milk_reduced_peda_tablets	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	140	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_saffron_milk_rice_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	141	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_south_asian_market_kachori	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	142	Medieval	Prepared	Pulse	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_royal_betel_spice_sweet	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	143	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_temple_sesame_sweet_ball	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	144	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_festival_rice_flour_fritter	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	145	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sultanate_spiced_meat_skewer	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	146	Medieval	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_medieval_pulse_flour_noodle_bowl	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	147	Medieval	Prepared	Noodle	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_song_market_filled_baozi	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	148	Medieval	Prepared	Dumpling	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_buddhist_vegetable_baozi	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	149	Medieval	Prepared	Dumpling	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_yuan_mutton_baozi	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	150	Medieval	Prepared	Dumpling	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_new_year_crescent_jiaozi	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	151	Medieval	Prepared	Dumpling	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_fasting_mushroom_jiaozi	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	152	Medieval	Prepared	Dumpling	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_song_clear_wonton_soup	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	153	Medieval	Prepared	Soup	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_yuan_mutton_wonton_bowl	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	154	Medieval	Prepared	Soup	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_longevity_noodle_feast	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	155	Medieval	Prepared	Noodle	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_song_cold_sesame_noodles	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	156	Medieval	Prepared	Noodle	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_yuan_knife_cut_noodle_bowl	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	157	Medieval	Prepared	Noodle	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_buddhist_mushroom_noodle_bowl	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	158	Medieval	Prepared	Noodle	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_dragon_boat_zongzi_packet	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	159	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sweet_bean_zongzi	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	160	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_mid_autumn_moon_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	161	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_lotus_like_seed_moon_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	162	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_song_candied_fruit_skewer	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	163	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_malt_sugar_animal_figure	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	164	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_song_sesame_honey_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	165	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_buddhist_mock_duck_roll	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	166	Medieval	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_buddhist_mock_fish_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	167	Medieval	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_monastery_tofu_skin_parcel	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	168	Medieval	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_song_braised_gluten_mock_meat	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	169	Medieval	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_korean_songpyeon_festival_cakes	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	170	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_korean_honey_yakgwa	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	171	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_korean_royal_rice_cake_layers	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	172	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_korean_mandu_broth	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	173	Medieval	Prepared	Soup	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_japanese_shojin_mock_eel	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	174	Medieval	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_japanese_zen_sesame_tofu	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	175	Medieval	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_japanese_mochi_offering	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	176	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_japanese_sweet_bean_manju	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	177	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_japanese_bean_yokan_block	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	178	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_japanese_miso_glazed_tofu	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	179	Medieval	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_samurai_miso_rice_ball	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	180	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sahel_court_millet_couscous	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	181	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sahel_honey_millet_feast_mound	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	182	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_trans_saharan_date_millet_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	183	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_mali_court_rice_meat_platter	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	184	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_mande_leaf_sauce_rice	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	185	Medieval	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_mande_smoked_fish_grain_balls	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	186	Medieval	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sahel_market_meat_rice_paste	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	187	Medieval	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sahelian_army_millet_meat_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	188	Medieval	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_ethiopian_royal_layered_injera	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	189	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_ethiopian_christian_fast_platter	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	190	Medieval	Prepared	Vegetable	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_ethiopian_honey_bread_offering	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	191	Medieval	Prepared	Bread	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_ethiopian_spiced_meat_trencher	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	192	Medieval	Prepared	Meat	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_ethiopian_monastic_pulse_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	193	Medieval	Prepared	Pulse	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_swahili_coast_spiced_fish_rice	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	194	Medieval	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_swahili_coconut_like_fish_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	195	Medieval	Prepared	Fish	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_swahili_date_rice_sweet	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	196	Medieval	Prepared	Sweet	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_west_african_honey_bean_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	197	Medieval	Prepared	Pulse	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_west_african_leaf_wrapped_grain_pudding	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	198	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sahel_sour_milk_millet_bowl	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	199	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_sahel_royal_roasted_meat_powder	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	200	Medieval	Prepared	Preserved	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_kanem_court_sorghum_meat_pudding	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	201	Medieval	Prepared	Grain	unchanged-reuse	Retained as a valid earlier food or drink without cloning; later availability remains subject to its admission record.	gate1-reviewed
medieval_food_blanching_almond_paste	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	202	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_almond_milk_press_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	203	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_pounded_mortrews_base	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	204	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_raw_raised_pie_coffin	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	205	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_filled_unbaked_meat_coffin	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	206	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_filled_unbaked_fish_coffin	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	207	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_subtlety_bread_armature	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	208	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_coloured_sugar_paste_sheet	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	209	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_unpainted_marchpane_figure	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	210	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_wafer_iron_batter_bowl	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	211	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_cameline_sauce_spice_cake	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	212	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_galantine_sauce_base	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	213	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_sanbusak_raw_parcels	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	214	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
medieval_food_lauzinaj_almond_filling_roll	DatabaseSeeder/Seeders/FoodCatalogue/Medieval/medieval.food-items.tsv	215	Medieval	Intermediate	Intermediate	adopted-later-era-dependency	Admitted as reusable input or liquid stock for later production; exact historical admissions and existing identity remain authoritative.	gate1-reviewed
