unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
renaissance_door_wer_braced_door_02,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,door,a braided wood braced door,wood,Large,Good,25800,56,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_lockable_door_03,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,door,a leaf-scroll oak lockable door,oak,Large,Good,27600,67,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_secure_door_04,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,door,a water-wave pine secure door,pine,Large,Standard,29400,78,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_shutter_05,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,shutter,a flower-head cedar shuttered opening,cedar,Large,VeryGood,31200,89,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_screen_06,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,screen,a bird teak screen door,teak,Large,Good,33000,100,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_lattice_gate_07,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,gate,a geometric bronze lattice gate,bronze,VeryLarge,Standard,34800,111,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_courtyard_gate_08,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,gate,a shell oak courtyard gate,oak,VeryLarge,Poor,36600,122,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_warehouse_gate_09,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,gate,a rosette cedar warehouse gate,cedar,VeryLarge,Standard,38400,133,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_garden_gate_10,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,gate,a braided teak garden gate,teak,VeryLarge,Good,40200,144,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_grille_11,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,grille,a leaf-scroll brass metal grille,brass,Large,Good,42000,155,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_barrier_12,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,barrier,a water-wave wrought iron barred barrier,wrought iron,Large,Standard,43800,166,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_hatch_13,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,hatch,a flower-head oak service hatch,oak,Large,VeryGood,45600,177,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_wicket_14,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,wicket,a bird cedar wicket gate,cedar,Large,Good,47400,188,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_panel_door_15,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,door,a geometric cedar door leaf,cedar,Large,Standard,49200,199,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_braced_door_16,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,door,a shell teak braced door,teak,Large,Poor,51000,210,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_lockable_door_17,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Western European Renaissance,door,a rosette wood lockable door,wood,Large,Standard,52800,221,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Western European Renaissance; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_wer_master_warded_lock_18,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,lock,a cloud brass master warded lock,brass,Small,Good,160,143,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Warded_Lock_Master,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_warded_key_19,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,key,a shell copper warded key,copper,Small,Good,245,151,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_ring_key_20,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,key,a reed pewter ring bow key,pewter,Small,Standard,330,7,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_door_latch_21,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,latch,a rosette wrought iron door latch,wrought iron,Small,VeryGood,415,15,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_gate_dropbar_22,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,drop bar,a checker bronze gate drop bar,bronze,Small,Good,500,23,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Latch_Gate_DropBar,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_door_bar_23,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,bar,a braided brass door bar,brass,Small,Standard,585,31,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Latch_Door_Bar,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_portcullis_pawl_24,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,pawl,a radiating copper winch pawl,copper,Small,Poor,670,39,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Latch_Portcullis_Pawl,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_hasp_25,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,hasp,a leaf-scroll pewter iron hasp,pewter,Small,Standard,755,47,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Latch_Container_Hasp,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_hook_latch_26,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,hook latch,a sunburst wrought iron hook latch,wrought iron,Small,Good,840,55,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Latch_Container_Hook,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_strike_plate_27,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,strike plate,a water-wave bronze strike plate,bronze,Small,Good,925,63,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_wer_hinge_pair_28,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Western European Renaissance,hinges,a knotted brass hinge pair,brass,Small,Standard,1010,71,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Western European Renaissance,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Western European Renaissance; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_iba_panel_door_29,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,door,a geometric wood door leaf,wood,Large,VeryGood,40200,100,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_braced_door_30,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,door,a shell oak braced door,oak,Large,Good,42000,111,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_lockable_door_31,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,door,a rosette pine lockable door,pine,Large,Standard,43800,122,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_secure_door_32,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,door,a braided cedar secure door,cedar,Large,Poor,45600,133,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_shutter_33,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,shutter,a leaf-scroll teak shuttered opening,teak,Large,Standard,47400,144,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_screen_34,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,screen,a water-wave teak screen door,teak,Large,Good,49200,155,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_lattice_gate_35,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,gate,a flower-head oak lattice gate,oak,VeryLarge,Good,51000,166,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_courtyard_gate_36,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,gate,a bird cedar courtyard gate,cedar,VeryLarge,Standard,52800,177,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_warehouse_gate_37,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,gate,a geometric teak warehouse gate,teak,VeryLarge,VeryGood,54600,188,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_garden_gate_38,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,gate,a shell wrought iron garden gate,wrought iron,VeryLarge,Good,56400,199,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_grille_39,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,grille,a rosette wrought iron metal grille,wrought iron,Large,Standard,24000,210,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_barrier_40,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,barrier,a braided bronze barred barrier,bronze,Large,Poor,25800,221,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_hatch_41,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,hatch,a leaf-scroll pine service hatch,pine,Large,Standard,27600,232,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_wicket_42,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,wicket,a water-wave teak wicket gate,teak,Large,Good,29400,243,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_panel_door_43,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,door,a flower-head teak door leaf,teak,Large,Good,31200,254,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_braced_door_44,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,door,a bird wood braced door,wood,Large,Standard,33000,265,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_lockable_door_45,Renaissance,Renaissance,"Doors, locks & gates",door or gate,Iberian Atlantic,door,a geometric oak lockable door,oak,Large,VeryGood,34800,276,Era / Renaissance Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Renaissance doors, locks and gates catalogue; culture admission Iberian Atlantic; availability Renaissance. Door behaviour is limited to the attached supported component profile."
renaissance_door_iba_master_warded_lock_46,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Iberian Atlantic,lock,a checker wrought iron master warded lock,wrought iron,Small,Good,1095,63,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_HeavyMetal; Warded_Lock_Master,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Iberian Atlantic; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_iba_warded_key_47,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Iberian Atlantic,key,a braided bronze warded key,bronze,Small,Standard,1180,71,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Iberian Atlantic; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_iba_ring_key_48,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Iberian Atlantic,key,a radiating brass ring bow key,brass,Small,Poor,1265,79,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_HeavyMetal; Warded_Key,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Iberian Atlantic; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_iba_door_latch_49,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Iberian Atlantic,latch,a leaf-scroll copper door latch,copper,Small,Standard,1350,87,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Iberian Atlantic; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_iba_gate_dropbar_50,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Iberian Atlantic,drop bar,a sunburst pewter gate drop bar,pewter,Small,Good,1435,95,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_HeavyMetal; Latch_Gate_DropBar,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Iberian Atlantic; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_iba_door_bar_51,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Iberian Atlantic,bar,a water-wave wrought iron door bar,wrought iron,Small,Good,1520,103,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_HeavyMetal; Latch_Door_Bar,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Iberian Atlantic; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_iba_portcullis_pawl_52,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Iberian Atlantic,pawl,a knotted bronze winch pawl,bronze,Small,Standard,160,111,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_HeavyMetal; Latch_Portcullis_Pawl,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Iberian Atlantic; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_iba_hasp_53,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Iberian Atlantic,hasp,a flower-head brass iron hasp,brass,Small,VeryGood,245,119,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_HeavyMetal; Latch_Container_Hasp,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Iberian Atlantic; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
renaissance_door_iba_hook_latch_54,Renaissance,Renaissance,"Doors, locks & gates",lock and hardware,Iberian Atlantic,hook latch,a star copper hook latch,copper,Small,Good,330,127,Era / Renaissance Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares; Culture / Renaissance / Shared / Iberian Atlantic,Holdable; Destroyable_HeavyMetal; Latch_Container_Hook,Locksmithing,Blacksmithing,"Renaissance doors, locks and gates hardware catalogue; culture admission Iberian Atlantic; availability Renaissance. It does not imply a custom matched-key or hidden-lock system."
