StableReference	LongDescription	FullDescription
renaissance_furniture_urban_kitchen_pantry_cupboard	A deep panelled pantry cupboard is positioned here, its oak surfaces contributing a practical presence to the room.	The deep panelled pantry cupboard is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the urban kitchen pantry setting.
renaissance_furniture_urban_kitchen_flour_meal_bin	A fixed flour-and-meal bin is positioned here, its pine surfaces contributing a practical presence to the room.	The fixed flour-and-meal bin is built chiefly from pine, with a deliberate silhouette and carefully fitted edges. The pine grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the urban kitchen flour setting.
renaissance_furniture_urban_kitchen_dresser	A broad open-shelved kitchen dresser is positioned here, its oak surfaces contributing a practical presence to the room.	The broad open-shelved kitchen dresser is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the urban kitchen dresser setting.
renaissance_furniture_urban_kitchen_preparation_table	A scarred kitchen preparation table is positioned here, its oak surfaces contributing a practical presence to the room.	The scarred kitchen preparation table is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the urban kitchen preparation setting.
renaissance_furniture_urban_kitchen_scullery_vat	A fixed wooden scullery vat is positioned here, its oak surfaces contributing a practical presence to the room.	The fixed wooden scullery vat is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A smoothed rim and weighted base keep the vessel stable during repeated service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the urban kitchen scullery setting.
renaissance_personal_urban_kitchen_market_purse		The drawstring household market purse is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the urban kitchen market setting.
renaissance_personal_urban_kitchen_recipe_wallet		The grease-spotted recipe wallet is built chiefly from parchment, with a deliberate silhouette and carefully fitted edges. The parchment surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the urban kitchen recipe setting.
renaissance_personal_urban_kitchen_shopping_tote		The broad linen shopping tote is built chiefly from linen, with a deliberate silhouette and carefully fitted edges. The linen is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the urban kitchen shopping setting.
renaissance_personal_urban_kitchen_waterskin		The small kitchen water sling is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A smoothed rim and weighted base keep the vessel stable during repeated service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the urban kitchen waterskin setting.
renaissance_domestic_urban_kitchen_pot		The broad earthenware kitchen pot is built chiefly from earthenware, with a deliberate silhouette and carefully fitted edges. Its fired earthenware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the urban kitchen pot setting.
renaissance_domestic_urban_kitchen_mixing_bowl		The deep glazed mixing bowl is built chiefly from faience, with a deliberate silhouette and carefully fitted edges. The faience surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the urban kitchen mixing setting.
renaissance_domestic_urban_kitchen_pitcher		The handled stoneware kitchen pitcher is built chiefly from stoneware, with a deliberate silhouette and carefully fitted edges. Its fired stoneware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base keep the vessel stable during repeated service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the urban kitchen pitcher setting.
renaissance_domestic_urban_kitchen_wash_basin		The broad copper kitchen basin is built chiefly from copper, with a deliberate silhouette and carefully fitted edges. The copper is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base keep the vessel stable during repeated service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the urban kitchen wash setting.
renaissance_domestic_urban_kitchen_wooden_plate		The round beech household plate is built chiefly from beech, with a deliberate silhouette and carefully fitted edges. The beech surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the urban kitchen wooden setting.
renaissance_domestic_urban_kitchen_serving_board		The long carved kitchen serving board is built chiefly from beech, with a deliberate silhouette and carefully fitted edges. The beech surface is worked into clear planes and finished carefully around the principal edges. The broad face is bordered by a simple frame, leaving its marks and divisions clear from across a furnished room. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the urban kitchen serving setting.
renaissance_trade_elite_household_silver_service_coffer		The fitted silver-service coffer is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the elite household silver setting.
renaissance_trade_elite_household_linen_travel_chest		The panelled household linen chest is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the elite household linen setting.
renaissance_trade_elite_household_scent_bottle_case		The padded scent-bottle case is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the elite household scent setting.
renaissance_trade_elite_household_portrait_casket		The miniature portrait casket is built chiefly from ivory, with a deliberate silhouette and carefully fitted edges. The ivory surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the elite household portrait setting.
renaissance_trade_elite_household_plate_transport_chest		The felt-lined plate transport chest is built chiefly from oak, with a deliberate silhouette and carefully fitted edges. The oak grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the elite household plate setting.
renaissance_furniture_elite_household_bridal_cassone	A painted walnut bridal cassone is positioned here, its walnut surfaces contributing a practical presence to the room.	The painted walnut bridal cassone is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the elite household bridal setting.
renaissance_furniture_elite_household_display_credenza	A carved two-tier display credenza is positioned here, its walnut surfaces contributing a practical presence to the room.	The carved two-tier display credenza is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the elite household display setting.
renaissance_furniture_elite_household_chamber_armoire	A tall panelled chamber armoire is positioned here, its walnut surfaces contributing a practical presence to the room.	The tall panelled chamber armoire is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the elite household chamber setting.
renaissance_furniture_elite_household_glass_display_cabinet	An early glazed display cabinet is positioned here, its walnut surfaces contributing a practical presence to the room.	The early glazed display cabinet is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the elite household glass setting.
renaissance_furniture_elite_household_banquet_table	A long walnut banquet table is positioned here, its walnut surfaces contributing a practical presence to the room.	The long walnut banquet table is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the elite household banquet setting.
renaissance_personal_elite_household_jewel_purse		The velvet-lined jewel purse is built chiefly from silk, with a deliberate silhouette and carefully fitted edges. The silk is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the elite household jewel setting.
renaissance_personal_elite_household_fan_case		The slim embroidered fan case is built chiefly from silk, with a deliberate silhouette and carefully fitted edges. The silk is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the elite household fan setting.
renaissance_personal_elite_household_scent_case		The fitted leather scent case is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the elite household scent setting.
renaissance_personal_elite_household_portable_writing_case		The shoulder-slung portable writing case is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the elite household portable setting.
renaissance_domestic_elite_household_painted_ewer		The painted faience banquet ewer is built chiefly from faience, with a deliberate silhouette and carefully fitted edges. The faience surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the elite household painted setting.
renaissance_domestic_elite_household_matching_basin		The broad painted faience basin is built chiefly from faience, with a deliberate silhouette and carefully fitted edges. The faience surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base keep the vessel stable during repeated service. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the elite household matching setting.
renaissance_domestic_elite_household_crystal_goblet		The clear lead-glass goblet is built chiefly from lead glass, with a deliberate silhouette and carefully fitted edges. The lead glass is gathered more thickly at the rim and base, giving the form a deliberate hand-made weight. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the elite household crystal setting.
renaissance_domestic_elite_household_export_bowl		The fine blue-and-white porcelain bowl is built chiefly from porcelain, with a deliberate silhouette and carefully fitted edges. Its fired porcelain body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the elite household export setting.
renaissance_domestic_elite_household_silver_charger		The broad chased silver charger is built chiefly from silver, with a deliberate silhouette and carefully fitted edges. The silver is worked into shallow planes and firm edges that catch the light without appearing machine-finished. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the elite household silver setting.
renaissance_domestic_elite_household_inlaid_tray		The mother-of-pearl inlaid serving tray is built chiefly from mother of pearl, with a deliberate silhouette and carefully fitted edges. The mother of pearl surface is worked into clear planes and finished carefully around the principal edges. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the elite household inlaid setting.
renaissance_trade_apothecary_perfumer_herb_sample_chest		The shallow herb-sample chest is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the apothecary perfumer herb setting.
renaissance_trade_apothecary_perfumer_vial_transport_case		The padded glass-vial transport case is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the apothecary perfumer vial setting.
renaissance_trade_apothecary_perfumer_dispensary_till_chest		The compact dispensary till chest is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the apothecary perfumer dispensary setting.
renaissance_trade_apothecary_perfumer_prescription_archive		The wax-sealable prescription archive chest is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the apothecary perfumer prescription setting.
renaissance_trade_apothecary_perfumer_scent_oil_flask		The narrow stoppered scent-oil flask is built chiefly from glass, with a deliberate silhouette and carefully fitted edges. The glass is gathered more thickly at the rim and base, giving the form a deliberate hand-made weight. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the apothecary perfumer scent setting.
renaissance_furniture_apothecary_perfumer_poison_cupboard	A small poison cupboard is positioned here, its walnut surfaces contributing a practical presence to the room.	The small poison cupboard is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the apothecary perfumer poison setting.
renaissance_furniture_apothecary_perfumer_apothecary_drawers	A many-drawered apothecary cabinet is positioned here, its walnut surfaces contributing a practical presence to the room.	The many-drawered apothecary cabinet is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the apothecary perfumer apothecary setting.
renaissance_furniture_apothecary_perfumer_bottle_display_shelves	A tiered apothecary bottle shelf is positioned here, its walnut surfaces contributing a practical presence to the room.	The tiered apothecary bottle shelf is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the apothecary perfumer bottle setting.
renaissance_furniture_apothecary_perfumer_dispensary_counter	A polished dispensary counter is positioned here, its walnut surfaces contributing a practical presence to the room.	The polished dispensary counter is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the apothecary perfumer dispensary setting.
renaissance_furniture_apothecary_perfumer_maceration_vat	A fixed copper maceration vat is positioned here, its copper surfaces contributing a practical presence to the room.	The fixed copper maceration vat is built chiefly from copper, with a deliberate silhouette and carefully fitted edges. The copper is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base keep the vessel stable during repeated service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the apothecary perfumer maceration setting.
renaissance_personal_apothecary_perfumer_physicians_satchel		The compartmented physician's satchel is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the apothecary perfumer physicians setting.
renaissance_personal_apothecary_perfumer_scent_vial_case		The small fitted scent-vial belt case is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the apothecary perfumer scent setting.
renaissance_personal_apothecary_perfumer_herb_pouch		The waxed linen herb pouch is built chiefly from linen, with a deliberate silhouette and carefully fitted edges. The linen is cut neatly and secured wherever it meets the reinforced edges of the form. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the apothecary perfumer herb setting.
renaissance_personal_apothecary_perfumer_formula_wallet		The folding apothecary formula wallet is built chiefly from parchment, with a deliberate silhouette and carefully fitted edges. The parchment surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the apothecary perfumer formula setting.
renaissance_domestic_apothecary_perfumer_albarello		The tall painted faience drug jar is built chiefly from faience, with a deliberate silhouette and carefully fitted edges. The faience surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the apothecary perfumer albarello setting.
renaissance_domestic_apothecary_perfumer_ointment_pot		The squat stoneware ointment pot is built chiefly from stoneware, with a deliberate silhouette and carefully fitted edges. Its fired stoneware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the apothecary perfumer ointment setting.
renaissance_domestic_apothecary_perfumer_syrup_bottle		The dark green glass syrup bottle is built chiefly from glass, with a deliberate silhouette and carefully fitted edges. The glass is gathered more thickly at the rim and base, giving the form a deliberate hand-made weight. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the apothecary perfumer syrup setting.
renaissance_domestic_apothecary_perfumer_mixing_basin		The shallow glazed dispensary basin is built chiefly from faience, with a deliberate silhouette and carefully fitted edges. The faience surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base keep the vessel stable during repeated service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the apothecary perfumer mixing setting.
renaissance_domestic_apothecary_perfumer_medicine_cup		The tiny pewter medicine cup is built chiefly from pewter, with a deliberate silhouette and carefully fitted edges. The pewter is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the apothecary perfumer medicine setting.
renaissance_domestic_apothecary_perfumer_instrument_tray		The narrow brass instrument tray is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the apothecary perfumer instrument setting.
renaissance_trade_ottoman_bazaar_till_chest		The brass-faced bazaar till chest is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the ottoman bazaar till setting.
renaissance_trade_ottoman_bazaar_spice_sample_chest		The many-celled cedar spice chest is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the ottoman bazaar spice setting.
renaissance_trade_ottoman_bazaar_textile_sample_coffer		The shallow textile-sample coffer is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the ottoman bazaar textile setting.
renaissance_trade_ottoman_bazaar_perfume_casket		The pierced brass perfume casket is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the ottoman bazaar perfume setting.
renaissance_trade_ottoman_bazaar_oil_merchants_jar		The glazed oil merchant's jar is built chiefly from stoneware, with a deliberate silhouette and carefully fitted edges. Its fired stoneware body has a hard, even surface with a slightly thickened rim and foot. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the ottoman bazaar oil setting.
renaissance_furniture_ottoman_bazaar_wall_cupboard	A carved cedar wall cupboard is positioned here, its cedar surfaces contributing a practical presence to the room.	The carved cedar wall cupboard is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. The upright body is broken into doors, panels, or shelves, with a firm plinth keeping the stored contents above the floor. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the ottoman bazaar wall setting.
renaissance_furniture_ottoman_bazaar_brassware_shelves	A tiered brassware display shelf is positioned here, its cedar surfaces contributing a practical presence to the room.	The tiered brassware display shelf is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. The raised supporting faces are kept level and open, allowing the displayed form to remain plainly visible. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the ottoman bazaar brassware setting.
renaissance_furniture_ottoman_bazaar_low_service_table	A low inlaid service table is positioned here, its walnut surfaces contributing a practical presence to the room.	The low inlaid service table is built chiefly from walnut, with a deliberate silhouette and carefully fitted edges. The walnut grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the ottoman bazaar low setting.
renaissance_furniture_ottoman_bazaar_counter	A narrow cedar bazaar counter is positioned here, its cedar surfaces contributing a practical presence to the room.	The narrow cedar bazaar counter is built chiefly from cedar, with a deliberate silhouette and carefully fitted edges. The cedar grain is visible along its boards and braces, with the exposed edges burnished smooth. The working surface is carried on a braced base, leaving a clear top above and sturdy supports below. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the ottoman bazaar counter setting.
renaissance_furniture_ottoman_bazaar_dye_mixing_vat	A fixed copper dye-mixing vat is positioned here, its copper surfaces contributing a practical presence to the room.	The fixed copper dye-mixing vat is built chiefly from copper, with a deliberate silhouette and carefully fitted edges. The copper is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base keep the vessel stable during repeated service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the ottoman bazaar dye setting.
renaissance_personal_ottoman_bazaar_coin_purse		The tasseled leather bazaar purse is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the ottoman bazaar coin setting.
renaissance_personal_ottoman_bazaar_document_satchel		The tooled leather document satchel is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the ottoman bazaar document setting.
renaissance_personal_ottoman_bazaar_scent_flask_case		The fitted brass scent-flask case is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A close-fitting top or flap sits over the compact compartment, while the corners are reinforced for regular handling. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the ottoman bazaar scent setting.
renaissance_personal_ottoman_bazaar_urban_waterskin		The shoulder-slung urban waterskin is built chiefly from leather, with a deliberate silhouette and carefully fitted edges. The leather is cut neatly and secured wherever it meets the reinforced edges of the form. A smoothed rim and weighted base keep the vessel stable during repeated service. Subtle changes in sheen around the joins make the separate pieces and their careful fitting visible, in keeping with the ottoman bazaar urban setting.
renaissance_domestic_ottoman_bazaar_iznik_tankard		The painted faience handled tankard is built chiefly from faience, with a deliberate silhouette and carefully fitted edges. The faience surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the ottoman bazaar iznik setting.
renaissance_domestic_ottoman_bazaar_long_spouted_ewer		The long-spouted hammered copper ewer is built chiefly from copper, with a deliberate silhouette and carefully fitted edges. The copper is worked into shallow planes and firm edges that catch the light without appearing machine-finished. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Small tool marks remain at the less-visible edges, while the parts handled most often have been polished smooth, in keeping with the ottoman bazaar long setting.
renaissance_domestic_ottoman_bazaar_painted_bowl		The deep painted faience bazaar bowl is built chiefly from faience, with a deliberate silhouette and carefully fitted edges. The faience surface is worked into clear planes and finished carefully around the principal edges. A smoothed rim and weighted base give the vessel a stable, practical form for repeated domestic service. Its corners show small signs of fitting and repair, lending the surface a convincing history of use, in keeping with the ottoman bazaar painted setting.
renaissance_domestic_ottoman_bazaar_brass_tray		The broad engraved brass serving tray is built chiefly from brass, with a deliberate silhouette and carefully fitted edges. The brass is worked into shallow planes and firm edges that catch the light without appearing machine-finished. Its compartment is bordered by fitted panels, open shelving, or a lined interior, with the accessible edges worn smooth. The visible faces are finished with restraint, allowing the material and its construction to remain easy to read, in keeping with the ottoman bazaar brass setting.
