uniqueReference,sdesc,fdesc
medieval_rus_linen_rubakha,a $colour linen rubakha,"This $colour linen rubakha is a long shirt-like garment with a slit neck, narrow cuffs, and straight body panels. The hem falls low enough to blouse over a belt, and the sleeves are cut for work beneath a heavier coat. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_rus_rubakha,a fine $colour embroidered rubakha,"This fine $colour embroidered rubakha is a long shirt-like garment with a small embroidered-looking facing at the neck and cuffs. The hem falls low enough to blouse over a belt, and the sleeves are cut for work beneath a heavier coat. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_rus_wool_porty,a pair of $colour wool porty,"These $colour wool porty are practical legwear with a gathered waist, straight seams, and enough room through the seat for riding or work. The legs narrow enough to sit beneath boots or wraps without excessive bunching. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_rus_onuchi,a pair of $colour onuchi leg wraps,"These $colour onuchi leg wraps are long narrow strips of cloth made to wind around the lower legs or feet. The ends are left thin enough to tuck back under the wrapping, while the body of each strip has enough texture to grip itself. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_rus_poneva,a $colour1 and $colour2 woven poneva,"This $colour1 and $colour2 woven poneva is a wrapped wool skirt made from patterned panels with a visible overlap. The waist edge is firm enough to hold a girdle, while the lower hem hangs in straight folds. The $colour1 and $colour2 yarns show in alternating bands across the weave, making the poneva patterned in the cloth rather than painted on top."
medieval_rus_sleeveless_overgown,a $colour sleeveless overgown,"This $colour sleeveless overgown is a long wool garment with open armholes and a sleeveless upper body. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_rus_shuba,a $colour fur-lined shuba,"This $colour fur-lined shuba is a warm overcoat with wool outside and fur visible along the collar, cuffs, and opening. The body is cut generously so it can close over a rubakha, trousers, and winter layers. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_rus_fur_hat,a fur-trimmed wool hat,This fur-trimmed wool hat is a rounded cap with a wool crown and fur marking the lower edge. The trim adds warmth around the brow and ears without covering the whole hat in pelt. Natural variations in the fur and wool show where the materials meet at the brim.
medieval_cotton_dhoti,a $colour cotton dhoti,"This $colour cotton dhoti is a long wrapped lower garment made from a rectangular length of cotton. The fabric is folded and passed around the waist and legs, making its shape depend on the wrapping rather than stitching. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_cotton_dhoti,a fine $colour cotton dhoti,"This fine $colour cotton dhoti is a long wrapped lower garment made from a rectangular length of cotton. The fabric is folded and passed around the waist and legs, making its shape depend on the wrapping rather than stitching. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_cotton_uttariya,a $colour cotton uttariya,"This $colour cotton uttariya is a long draped shoulder cloth meant to pass over one or both shoulders. The edges are kept straight, and the fabric is light enough to fold without making a bulky knot. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_silk_uttariya,a fine $colour silk uttariya,"This fine $colour silk uttariya is a long draped shoulder cloth meant to pass over one or both shoulders. The edges are kept straight, and the fabric is light enough to fold without making a bulky knot. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_cotton_turban,a $colour cotton turban,"This $colour cotton turban is a long cloth headwrap wound in layered folds around the crown. The length gives it a full profile without needing a stiff frame, and the tail can be tucked neatly into the wrapping. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_silk_turban_indian,a fine $colour silk turban,"This fine $colour silk turban is a long cloth headwrap wound in layered folds around the crown. The length gives it a full profile without needing a stiff frame, and the tail can be tucked neatly into the wrapping. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_cotton_sari,a $colour cotton sari,"This $colour cotton sari is a long wrapped garment with enough length to form both lower drape and upper fold. The cloth relies on pleating, tucking, and wrapping rather than seams, leaving the edge visible along the fall. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_silk_sari,a fine $colour silk sari,"This fine $colour silk sari is a long wrapped garment with enough length to form both lower drape and upper fold. The cloth relies on pleating, tucking, and wrapping rather than seams, leaving the edge visible along the fall. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_short_cotton_bodice,a short $colour cotton bodice,"This short $colour cotton bodice is a short fitted upper-body garment with a close waist, shaped sides, and narrow shoulder coverage. It is meant to sit with a wrapped lower cloth or skirt, keeping the torso neat without heavy layering. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_silk_bodice,a fine $colour silk bodice,"This fine $colour silk bodice is a short fitted upper-body garment with a close waist, shaped sides, and narrow shoulder coverage. It is meant to sit with a wrapped lower cloth or skirt, keeping the torso neat without heavy layering. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_cotton_lower_cloth,a $colour cotton lower cloth,"This $colour cotton lower cloth is a rectangular lower cloth meant to wrap at the waist and fall in plain vertical folds. The fabric is simple, flexible, and edged for repeated tying. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_south_indian_veshti,a $colour cotton veshti,"This $colour cotton veshti is a rectangular cotton lower cloth wrapped around the waist and falling in straight folds. The edges are clean and visible, and the front can be tucked to keep the hem clear for movement. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_silk_bordered_veshti,a fine $colour silk-bordered veshti,"This fine $colour silk-bordered veshti is a rectangular cotton lower cloth wrapped around the waist and falling in straight folds. The edges are clean and visible, and the front can be tucked to keep the hem clear for movement. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_south_indian_angavastram,a $colour cotton angavastram,"This $colour cotton angavastram is a broad shoulder cloth that can be folded, draped, or drawn around the upper body. The cloth is rectangular and plainly edged, relying on the wearer's wrapping for its final shape. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_angavastram,a fine $colour silk angavastram,"This fine $colour silk angavastram is a broad shoulder cloth that can be folded, draped, or drawn around the upper body. The cloth is rectangular and plainly edged, relying on the wearer's wrapping for its final shape. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_cotton_wrap_skirt,a $colour cotton wrap skirt,"This $colour cotton wrap skirt is a wrapped skirt made from a broad cloth panel with a visible overlap and plain hem. The fabric falls in practical folds and can be gathered by a sash or belt at the waist. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_silk_wrap_skirt,a fine $colour silk wrap skirt,"This fine $colour silk wrap skirt is a wrapped skirt made from a broad cloth panel with a visible overlap and plain hem. The fabric falls in practical folds and can be gathered by a sash or belt at the waist. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_song_cross_collar_robe,a $colour cross-collar robe,"This $colour cross-collar robe is a long cloth robe with a diagonal front overlap and straight sleeves. The collar line crosses the chest cleanly, and the skirt falls in narrow vertical folds. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_song_round_collar_robe,a $colour round-collar robe,"This $colour round-collar robe is a long silk robe with a rounded neck opening, long sleeves, and a controlled straight fall. The front and cuffs are neatly finished, giving the garment a more formal silhouette than a work jacket. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_song_beizi,a long $colour beizi over-robe,"This long $colour beizi over-robe is a long over-robe with a straight open front, narrow sleeves, and side slits that let the underlayers move. The cloth falls in vertical lines from shoulder to lower hem, giving the garment a composed outer silhouette. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_song_ru_jacket,a $colour cross-collar jacket,"This $colour cross-collar jacket is a short cross-collar jacket with straight sleeves, a wrapped front, and a tidy waist-length body. The garment is cut for movement, with the front overlap and cuffs giving it most of its visible shape. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_song_changqun_skirt,a $colour long pleated skirt,"This $colour long pleated skirt is a long skirt with narrow pleats falling from a firm waist edge. The pleats give the cloth movement while keeping the upper line orderly. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_song_trousers,a pair of $colour cloth trousers,"These $colour cloth trousers are practical legwear with a gathered waist, straight seams, and enough room through the seat for riding or work. The legs narrow enough to sit beneath boots or wraps without excessive bunching. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_song_cloth_shoes,a pair of cloth shoes,"These cloth shoes are light, low footwear with soft uppers and flat soles. The seams are kept close to the edges, and the shape is simple enough to disappear beneath long robes or trousers. The fabric surface is plain and practical, with wear most visible around the toe and heel."
medieval_song_official_cap,a black official cap,"This black official cap is a structured headpiece with a dark cloth body and crisp, formal lines. Its shape is controlled and symmetrical, with the edges finished cleanly to hold the cap's profile. The black surface is plain and deliberate, relying on silhouette rather than bright ornament."
medieval_song_headscarf,a $colour cloth headscarf,"This $colour cloth headscarf is a square or rectangular cloth for covering the head and tying close at the neck or nape. The edges are plainly hemmed, and the folds can be drawn low for shade or kept tidy for town wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_goryeo_cross_collar_jacket,a $colour cross-collar jacket,"This $colour cross-collar jacket is a short cross-collar jacket with straight sleeves, a wrapped front, and a tidy waist-length body. The garment is cut for movement, with the front overlap and cuffs giving it most of its visible shape. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_goryeo_baji,a pair of $colour baji trousers,"These $colour baji trousers are loose trousers with a gathered waist, full seat, and narrowing lower legs. The cloth is cut for easy movement beneath a jacket or robe, with plain seams and practical hems. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_goryeo_chima,a $colour chima skirt,"This $colour chima skirt is a full skirt with a gathered upper edge and a broad fall from waist to lower hem. The fabric spreads in soft folds and is meant to sit below a short jacket or over-robe. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_goryeo_po_robe,a $colour po over-robe,"This $colour po over-robe is a long over-robe with broad sleeves, a wrapped front, and a steady fall below the knee. It is cut to sit over a jacket and trousers or skirt, adding a cleaner outer line. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_goryeo_silk_overrobe,a fine $colour silk over-robe,"This fine $colour silk over-robe is a substantial outer robe with padded body panels and long sleeves. The added thickness gives the robe a rounded fall and makes the edges sit away from the underlayers. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_goryeo_headcloth,a $colour cloth headcloth,"This $colour cloth headcloth is a square or rectangular cloth for covering the head and tying close at the neck or nape. The edges are plainly hemmed, and the folds can be drawn low for shade or kept tidy for town wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_goryeo_felt_hat,a $colour felt hat,"This $colour felt hat is a shaped felt hat with a rounded crown and a firm lower edge. The felt holds a simple profile, with little ornament beyond the shape and colour of the material. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_japanese_kosode,a $colour kosode robe,"This $colour kosode robe is a straight-seamed robe with small sleeve openings, a wrapped front, and a narrow collar. The body is made from rectangular panels, giving it a clean fall and visible folded overlap at the chest. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_japanese_hakama,a pair of $colour hakama,"These $colour hakama are divided skirt-like trousers with deep folds falling from the waist. The legs are broad and straight, giving the garment a formal drape while still allowing movement. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_japanese_suikan,a $colour suikan robe,"This $colour suikan robe is a robe with a straight body, open sleeves, and ties that control the loose outer fall. The panels are arranged to show broad, flat surfaces and a clean drape over underlayers. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_japanese_hitatare,a $colour hitatare robe,"This $colour hitatare robe is a robe with wide sleeves, a squared body, and a practical tied front. The panels are arranged to show broad, flat surfaces and a clean drape over underlayers. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_japanese_uchigi,a fine $colour uchigi robe,"This fine $colour uchigi robe is a formal silk robe with broad sleeves, a straight body, and a soft layered fall. It is meant to sit among other robes, showing most clearly at the collar, sleeve edges, and hem. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_japanese_kariginu,a fine $colour kariginu robe,"This fine $colour kariginu robe is a robe with wide sleeves, a loose body, and a formal hunting-robe silhouette. The panels are arranged to show broad, flat surfaces and a clean drape over underlayers. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_japanese_eboshi,a black eboshi cap,"This black eboshi cap is a tall, folded headpiece with a crisp dark surface and a narrow base. The shape rises cleanly from the head, giving it a distinctive formal silhouette. The black cloth is plain and smooth, with the emphasis on line rather than ornament."
medieval_japanese_hemp_sandals,a pair of hemp sandals,"These woven hemp sandals are light, open footwear made from braided plant-fibre straps and simple flat soles. The weave is coarse but regular, leaving the toes and much of the foot exposed. The natural hemp surface is plainly visible, with small slubs and a practical, unpolished finish."
medieval_japanese_headcloth,a $colour linen headcloth,"This $colour linen headcloth is a square or rectangular cloth for covering the head and tying close at the neck or nape. The edges are plainly hemmed, and the folds can be drawn low for shade or kept tidy for town wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_over_tunic,a heavy $colour wool overtunic,"This heavy $colour wool overtunic is cut larger than an under-tunic, with broad sleeves and a weighty skirt for layering. The wool is dense and slightly bulky, making the garment useful over lighter clothing in cold air. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_lined_wool_hose,a pair of thick $colour wool hose,"These thick $colour wool hose are close-fitting leg coverings made from dense wool, shaped to add warmth beneath outer clothing. The feet and ankles are cut with practical seams, while the upper edges are finished to sit under a tunic or breeches. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_footwraps,a pair of thick $colour wool footwraps,"These thick $colour wool footwraps are long narrow strips of cloth made to wind around the lower legs or feet. The ends are left thin enough to tuck back under the wrapping, while the body of each strip has enough texture to grip itself. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_mittens,a pair of $colour wool mittens,"These $colour wool mittens are simple wool hand coverings with a separate thumb and a rounded body for the fingers. The cuffs are long enough to tuck beneath sleeves or cloak folds. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_leather_winter_mittens,a pair of fur-lined leather mittens,"These fur-lined leather mittens are thick hand coverings with leather outside and warm fur visible at the cuff. The thumb is separately shaped, while the main body keeps the fingers together for warmth. Natural variations in the leather and fur show at the seams, cuff, and flexed places."
medieval_lined_leather_boots,a pair of lined leather boots,"These lined leather boots are sturdy outdoor footwear with leather uppers, firm soles, and a warm inner lining. The shafts rise high enough to protect the ankle and lower leg, while the seams are placed away from the worst rubbing points. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_heavy_hooded_wool_cloak,a heavy $colour hooded wool cloak,"This heavy $colour hooded wool cloak is a hooded outer cloth meant to drape over the shoulders and upper body. The hood is cut as part of the weather-facing shape, falling forward enough to shadow the face without becoming a mask. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fur_faced_winter_cloak,a fine $colour fur-faced cloak,"This fine $colour fur-faced cloak is a broad outer cloth meant to drape over the shoulders and upper body. Fur shows at the opening and edges, adding thickness where wind would otherwise slip beneath the outer cloth. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_waxed_skin_cape,a waxed skin cape,"This waxed skin cape is a weather-facing outer layer made from treated animal skin with a broad shoulder fall. The surface has a dull waxy sheen, and the edges are left sturdy rather than decorative. Natural variations in the skin show at the edges, seams, and flexed places."
medieval_heavy_checked_wool_mantle,a heavy $colour1 and $colour2 checked mantle,"This heavy $colour1 and $colour2 checked mantle is a broad outer cloth meant to drape over the shoulders and upper body. The checked weave remains visible across the folds, breaking the broad surface into regular blocks of colour. The $colour1 and $colour2 threads are woven into an even checked pattern, giving the mantle visible contrast without relying on applied ornament."
medieval_heavy_wool_brat,a heavy $colour wool brat,"This heavy $colour wool brat is a broad wool cloak-mantle with a rectangular fall and enough weight to hold a strong shoulder drape. The edges are the most visible part, especially where the cloth is folded back from the body. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fur_trimmed_brat,a fine $colour fur-trimmed brat,"This fine $colour fur-trimmed brat is a broad wool cloak-mantle with a rectangular fall and enough weight to hold a strong shoulder drape. The edges are the most visible part, especially where the cloth is folded back from the body. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_wool_cowl_hood,a $colour wool cowl hood,"This $colour wool cowl hood is a roomy hood with a deep face opening and a short drape around the shoulders. The wool gathers in heavy folds at the neck, adding warmth where cloaks often leave gaps. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_heavy_wool_surcoat,a heavy $colour wool surcoat,"This heavy $colour wool surcoat is a sleeveless wool overgarment with open sides and a long straight fall. It is made to sit over a cotte, saya, or gown, showing the layer beneath through the openings. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_lined_wool_manto,a lined $colour wool manto,"This lined $colour wool manto is a broad mantle with a generous curved or rectangular fall over the shoulders. It is made to frame the upper body and cover the outer garment beneath without close tailoring. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_paenula,a hooded $colour wool paenula,"This hooded $colour wool paenula is a closed, weather-facing cloak with a rounded body and an attached hood. The cloth hangs as a broad shell around the shoulders, with the front falling in heavy protective folds. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_heavy_sagion,a heavy $colour sagion cloak,"This heavy $colour sagion cloak is a substantial wool shoulder-cloak with a dense fall and weather-ready weight. It gathers near one shoulder and hangs in broad folds across the body. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_heavy_wool_burnous,a heavy $colour wool burnous,"This heavy $colour wool burnous is a heavy wool cloak with a hooded upper edge and a loose body meant to wrap around the shoulders. The cloth falls in deep folds and leaves the front easy to draw close against wind or dust. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_padded_wool_jubba,a padded $colour wool jubba,"This padded $colour wool jubba is a substantial robe with quilted thickness through the body and sleeves. The front hangs open or overlaps in heavy folds, making it suitable as a cool-season outer layer. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wool_izar_wrap,a thick $colour wool izar,"This thick $colour wool izar is a broad thick wool wrap with enough length to pass around the body and fall in layered folds. The edges are plain and straight, letting the drape and overlap form most of the garment's shape. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fur_lined_caftan,a fine $colour fur-lined caftan,"This fine $colour fur-lined caftan is a front-opening coat with warm fur visible at the collar, cuffs, and inner edge. The skirt is cut for riding and walking, with side fullness that keeps the garment from binding. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_felt_winter_deel,a $colour felt-lined steppe robe,"This $colour felt-lined steppe robe is a heavy belted outer robe with a dense inner lining and a front that wraps across the body. The sleeves and skirt are roomy, allowing it to sit over trousers and other cold-weather layers. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_quilted_winter_trousers,a pair of quilted $colour winter trousers,"These quilted $colour winter trousers are padded legwear stitched in rows to hold the filling evenly. They are cut roomy enough to pull over lighter layers, with reinforced hems where boots would rub. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fur_earflap_hat,a fur earflap hat,"This fur earflap hat is a warm head covering with soft fur over the crown and flaps that fall to cover the ears. The shape is practical and rounded, with edges made thick enough to block wind. Natural variations in the fur show at the tips, seams, and places where the nap changes direction."
medieval_felt_stockings,a pair of thick felt stockings,"These thick felt stockings are close, warm leg coverings made from dense felt with a soft but compact surface. They are shaped to sit inside boots or beneath trousers, with plain edges and little ornament. The natural felt surface is plainly visible, with a practical, unpolished finish."
medieval_wool_shawl,a thick $colour wool shawl,"This thick $colour wool shawl is a rectangular wrap with enough breadth to cover the shoulders and upper body. The cloth is thick and soft, falling in warm folds when drawn close. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_thick_cotton_shawl,a thick $colour cotton shawl,"This thick $colour cotton shawl is a rectangular wrap with enough breadth to cover the shoulders and upper body. The cloth is thick and soft, falling in warm folds when drawn close. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_fine_goat_hair_shawl,a fine $colour goat-hair shawl,"This fine $colour goat-hair shawl is a rectangular wrap with enough breadth to cover the shoulders and upper body. The cloth is thick and soft, falling in warm folds when drawn close. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_heavy_cotton_angavastram,a thick $colour cotton angavastram,"This thick $colour cotton angavastram is a broad shoulder cloth that can be folded, draped, or drawn around the upper body. The cloth is rectangular and plainly edged, relying on the wearer's wrapping for its final shape. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_padded_silk_overrobe,a padded $colour silk over-robe,"This padded $colour silk over-robe is a substantial outer robe with padded body panels and long sleeves. The added thickness gives the robe a rounded fall and makes the edges sit away from the underlayers. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_heavy_beizi_overrobe,a heavy $colour beizi over-robe,"This heavy $colour beizi over-robe is a long over-robe with a straight open front, narrow sleeves, and side slits that let the underlayers move. The cloth falls in vertical lines from shoulder to lower hem, giving the garment a composed outer silhouette. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_padded_po_robe,a padded $colour po robe,"This padded $colour po robe is a long over-robe with broad sleeves, a wrapped front, and a steady fall below the knee. It is cut to sit over a jacket and trousers or skirt, adding a cleaner outer line. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_lined_kosode,a lined $colour kosode robe,"This lined $colour kosode robe is a straight-seamed robe with small sleeve openings, a wrapped front, and an added lining for warmth. The collar runs in a clean diagonal line, and the sleeves hang in measured rectangles. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_layered_uchigi_set,a layered $colour uchigi set,"This layered $colour uchigi set is a group of formal silk robe layers with straight panels and broad sleeves. The nested collars and hems create visible tiers, making the colour strongest where several layers overlap. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_linen_work_apron,a $colour linen work apron,"This $colour linen work apron is a plain protective cloth with a straight fall over the front of the body. The upper edge and ties are simple, keeping the garment easy to put on over ordinary working clothes. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_hemp_work_apron,a coarse hemp work apron,"This hemp work apron is a coarse protective layer with a straight bib or waist fall and plain ties. The cloth is sturdy, rough-textured, and meant to take stains before the clothing beneath does. The natural hemp surface is plainly visible, with small slubs and a practical, unpolished finish."
medieval_leather_smith_apron,a leather smith's apron,"This leather smith's apron is a heavy protective apron cut from sturdy leather with a broad chest and long lower fall. The surface is plain and tough, with visible creases and scuffs where tools, heat, and work would mark it. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_linen_sleeve_guards,a pair of $colour linen sleeve guards,"These $colour linen sleeve guards are narrow protective wraps for the forearms, made to cover cuffs and keep sleeves close during work. The cloth is light and washable, with simple ties or tucked ends controlling the fit. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_leather_work_gloves,a pair of leather work gloves,"These leather work gloves are plain hand coverings with sturdy palms, short cuffs, and practical seams between the fingers. The leather is thick enough to protect against abrasion without becoming armour. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_clean_linen_coif,a clean $colour linen coif,"This clean $colour linen coif is a close-fitting head covering with rounded crown panels and ties below the jaw or at the nape. The edges are narrow and smooth, keeping the cloth neat beneath a hood, cap, or veil. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_linen_work_cap,a $colour linen work cap,"This $colour linen work cap is a simple cloth cap with a rounded crown and a narrow lower edge. It is cut for everyday wear, sitting close to the head without broad brim or heavy ornament. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_wide_work_sash,a wide $colour work sash,"This wide $colour work sash is a broad wool band meant to gather loose clothing close to the body. The weave is firm rather than delicate, with squared ends and enough breadth to spread pressure across the waist. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_canvas_work_tabard,a $colour canvas work tabard,"This $colour canvas work tabard is a loose sleeveless canvas overgarment with open sides and a straight fall from the shoulders. It is cut to protect the front and back of clothing while leaving the arms free for work. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_drab_dyers_apron,a stained $colour dye-worker's apron,"This stained $colour dye-worker's apron is a linen work layer marked by uneven colour and old splashes in the cloth. It has a plain protective fall and simple ties, prioritising coverage over neat display. The $colour tone is uneven and work-stained, strongest along the creases, edges, and places most handled."
medieval_short_wool_work_tunic,a short $colour wool work tunic,"This short $colour wool work tunic is a short wool garment made from straight body panels with sleeves set in simply at the shoulder. The proportions are tidier than a field garment, with the hem kept clear enough for work in streets or workshops. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_clean_town_wool_tunic,a neat $colour town tunic,"This neat $colour town tunic is a straight wool garment made from straight body panels with sleeves set in simply at the shoulder. The proportions are tidier than a field garment, with the hem kept clear enough for work in streets or workshops. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_tucked_wool_work_gown,a tucked $colour work gown,"This tucked $colour work gown is a long wool garment with a skirt that can be tucked up clear of work. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_linen_market_veil,a plain $colour market veil,"This plain $colour market veil is a simple rectangular cloth for covering the hair and shoulders during public work. The edges are narrow and practical, with no heavy ornament to snag or weigh it down. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_brooched_market_mantle,a neat $colour brooched mantle,"This neat $colour brooched mantle is a broad outer cloth meant to drape over the shoulders and upper body. The fastening is plainly visible near the shoulder, gathering the cloth into heavy folds without concealing how it is held. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_leather_trader_belt,a broad leather trader's belt,"This broad leather trader's belt is cut wider than a common waist strap, with a firm body and a plain fastening. The edges are rubbed smooth and the outer face shows creases from being drawn tight over working clothes. Natural variations in the leather show along the grain, flex marks, and cut edge."
medieval_wool_market_headcloth,a $colour wool market headcloth,"This $colour wool market headcloth is a square or rectangular cloth for covering the head and tying close at the neck or nape. The edges are plainly hemmed, and the folds can be drawn low for shade or kept tidy for town wear. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_town_leine,a clean $colour town léine,"This clean $colour town léine is a long linen tunic with full sleeves and a generous body cut from straight panels. The length and loose fall make it useful as both underlayer and visible garment. The $colour dye reads cleanly across the cloth, with richer depth where the folds overlap and catch shadow."
medieval_work_wool_cotte,a plain $colour wool work cotte,"This plain $colour wool work cotte is a long wool body garment cut close enough to layer under a surcoat or mantle. The sleeves are narrow through the forearm, and the skirt has enough fullness for walking. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges. With plain seams and a serviceable fall at the cuffs, neck, and hem."
medieval_town_work_kirtle,a tucked $colour work kirtle,"This tucked $colour work kirtle is a long wool garment with a skirt that can be tucked up clear of work. The cloth is shaped by seams and belting rather than close tailoring, falling in broad folds from shoulder to hem. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
medieval_sleeveless_work_surcoat,a plain $colour sleeveless work surcoat,"This plain $colour sleeveless work surcoat is a sleeveless wool overgarment with open sides and a long straight fall. It is made to sit over a cotte, saya, or gown, showing the layer beneath through the openings. The $colour dye is simple and even, showing most clearly across the broad panels and worn edges."
