category,unique_reference,sdesc,noun,material,size,quality,weight_g,cost,components,tags,morph,notes,fdesc
Rings and signet-like rings,medieval_jewellery_ring_cowrie_shell_ring,a cowrie shell ring,ring,cowrie shell,Tiny,Standard,6.0,10.0m,Holdable; Wear_Ring; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Commoner Jewellery,,,"At close range, cowrie shell ring shows the compromises of hand work: polish where it is touched, duller texture where it is not. A shell cap lashed onto a small band draws the eye around the band. The hidden side of the cowrie shell ring is plainer, so attention stays on a shell cap lashed onto a small band and the visible finish. The cowrie shell ring carries value through visible material and workmanship, not through hidden mechanism."
Rings and signet-like rings,medieval_jewellery_ring_double_wire_silver_ring,a double wire silver ring,ring,silver,Tiny,Good,10.0,70.0m,Holdable; Wear_Ring; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Merchant Jewellery,,,"A double wire silver ring keeps its decoration low to the finger, without raised parts that would snag easily. The material shows as pale silver brightened at its raised surfaces, with the inner surface left plain and comfortable. Small handling marks cross the double wire silver ring unevenly, especially where it would brush cloth or skin. The piece would signal merchant taste while remaining straightforward jewellery."
Rings and signet-like rings,medieval_jewellery_ring_heavy_gold_thumb_ring,a heavy gold thumb ring,ring,gold,Tiny,Good,24.0,650.0m,Holdable; Wear_Ring; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Noble Jewellery,,,"At close range, heavy gold thumb ring shows the compromises of hand work: polish where it is touched, duller texture where it is not. A broad smooth curve draws the eye around the band. Small handling marks cross the heavy gold thumb ring unevenly, especially where it would brush cloth or skin. The heavy gold thumb ring feels selected for appearance first, with practical wearing kept secondary."
Rings and signet-like rings,medieval_jewellery_ring_stamped_brass_ring,a stamped brass ring,ring,brass,Tiny,Standard,10.0,18.0m,Holdable; Wear_Ring; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,,,"A stamped brass ring is a compact band of yellow brass polished brighter on the edges, made with little punched triangles around the band rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Rubbing has brightened the exposed parts of the stamped brass ring without making it look neglected. The piece would signal ordinary market taste while remaining straightforward jewellery."
Rings and signet-like rings,medieval_jewellery_ring_finish_silver_ring,a $finish silver ring,ring,silver,Tiny,Good,12.0,82.0m,Holdable; Wear_Ring; Destroyable_HeavyMetal; Variable_MetalFinish,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Merchant Jewellery,,,"A $finish silver ring is a compact band of pale silver brightened at its raised surfaces, made with the chosen finish left deliberately visible on the worked surface rather than a perfectly anonymous surface. The inside has been smoothed more carefully than the outside, so the hand feels more work than the eye first sees. Fine wear gathers around the ring's highest places, leaving the chosen finish left deliberately visible on the worked surface easier to pick out. The $finish silver ring is meant to be noticed in wear, but nothing about it implies armour or magic."
Rings and signet-like rings,medieval_jewellery_ring_shape_gem_ring,a $shape gem ring,ring,silver,Tiny,Good,14.0,145.0m,Holdable; Wear_Ring; Destroyable_HeavyMetal; Variable_JewelleryShape; Variable_Gem,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Luxury Jewellery,,,"The ring is small, but the maker has given its outer face enough attention to keep it from looking like scrap. Pale silver brightened at its raised surfaces forms a steady circle, broken only by the chosen shape giving the object its main outline. Fine wear gathers around the ring's highest places, leaving the chosen shape giving the object its main outline easier to pick out. The $shape gem ring leaves room for local marks or motifs without needing a different base object."
Neck adornment,medieval_jewellery_neck_blue_glass_bead_necklace,a blue glass bead necklace,necklace,glass,VerySmall,Standard,70.0,34.0m,Holdable; Wear_Necklace; Destroyable_Glassware,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,,,"The blue glass bead necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is coloured glass polished smooth enough to glow at the edges, with beads chosen more for visible rhythm than identical size giving the eye a place to pause. Close inspection of the blue glass bead necklace shows small tool marks rather than cast-perfect smoothness. The piece would signal ordinary market taste while remaining straightforward jewellery."
Neck adornment,medieval_jewellery_neck_faience_bead_necklace,a faience bead necklace,necklace,faience,VerySmall,Standard,70.0,28.0m,Holdable; Wear_Necklace; Destroyable_Glassware,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,,,"The faience bead necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is glazed faience with small pooling marks in the colour, with beads chosen more for visible rhythm than identical size giving the eye a place to pause. The hidden side of the faience bead necklace is plainer, so attention stays on beads chosen more for visible rhythm than identical size and the visible finish. The faience bead necklace reads as ordinary market adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_amber_bead_necklace,an amber bead necklace,necklace,amber,VerySmall,Good,70.0,120.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Luxury Jewellery,,,"The amber bead necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is honey-coloured amber with cloudy threads caught inside, with beads chosen more for visible rhythm than identical size giving the eye a place to pause. The hidden side of the amber bead necklace is plainer, so attention stays on beads chosen more for visible rhythm than identical size and the visible finish. The piece would signal wealthy taste while remaining straightforward jewellery."
Neck adornment,medieval_jewellery_neck_jet_bead_necklace,a jet bead necklace,necklace,jet,VerySmall,Standard,70.0,42.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,,,"Seen flat, jet bead necklace shows a slight unevenness that would soften once worn. The front has the best polish and spacing, while the back is plainer and more practical. Rubbing has brightened the exposed parts of the jet bead necklace without making it look neglected. The jet bead necklace leaves room for local marks or motifs without needing a different base object."
Neck adornment,medieval_jewellery_neck_coral_bead_necklace,a coral bead necklace,necklace,coral,VerySmall,Good,70.0,150.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Luxury Jewellery,,,"A coral bead necklace is arranged for the throat or upper chest, where its line of coral beads with a warm sea-worn surface would be plainly visible. A few beads, links, or turns sit out of strict order, making the hand assembly part of the charm. Close inspection of the coral bead necklace shows small tool marks rather than cast-perfect smoothness. The coral bead necklace feels selected for appearance first, with practical wearing kept secondary."
Neck adornment,medieval_jewellery_neck_bone_bead_necklace,a bone bead necklace,necklace,bone,VerySmall,Standard,70.0,12.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Commoner Jewellery,,,"Seen flat, bone bead necklace shows a slight unevenness that would soften once worn. The front has the best polish and spacing, while the back is plainer and more practical. The worked parts of the bone bead necklace are decorative, but none suggest a moving catch or concealed compartment. The bone bead necklace leaves room for local marks or motifs without needing a different base object."
Neck adornment,medieval_jewellery_neck_horn_bead_necklace,a horn bead necklace,necklace,horn,VerySmall,Standard,70.0,14.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Commoner Jewellery,,,"The horn bead necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is horn with layered translucent streaks through it, with beads chosen more for visible rhythm than identical size giving the eye a place to pause. The worked parts of the horn bead necklace are decorative, but none suggest a moving catch or concealed compartment. The horn bead necklace reads as commoner adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_cowrie_shell_necklace,a cowrie shell necklace,necklace,cowrie shell,VerySmall,Standard,70.0,16.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Commoner Jewellery,,,"A cowrie shell necklace is arranged for the throat or upper chest, where its line of small cowrie shells with smooth backs and pale mouths would be plainly visible. A few beads, links, or turns sit out of strict order, making the hand assembly part of the charm. The hidden side of the cowrie shell necklace is plainer, so attention stays on beads chosen more for visible rhythm than identical size and the visible finish. The cowrie shell necklace reads as commoner adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_conch_shell_necklace,a conch shell necklace,necklace,conch shell,VerySmall,Standard,70.0,24.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,,,"The conch shell necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is cut conch shell with creamy curves and warmer pinkish edges, with beads chosen more for visible rhythm than identical size giving the eye a place to pause. The worked parts of the conch shell necklace are decorative, but none suggest a moving catch or concealed compartment. The conch shell necklace leaves room for local marks or motifs without needing a different base object."
Neck adornment,medieval_jewellery_neck_mother_of_pearl_necklace,a mother-of-pearl necklace,necklace,mother-of-pearl,VerySmall,Good,70.0,130.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Luxury Jewellery,,,"The mother-of-pearl necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is mother-of-pearl flashing softly under the surface, with beads chosen more for visible rhythm than identical size giving the eye a place to pause. The hidden side of the mother-of-pearl necklace is plainer, so attention stays on beads chosen more for visible rhythm than identical size and the visible finish. The piece would signal wealthy taste while remaining straightforward jewellery."
Neck adornment,medieval_jewellery_neck_small_pearl_necklace,a small pearl necklace,necklace,pearl,VerySmall,Good,70.0,240.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Luxury Jewellery,,,"The small pearl necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is small pearls with uneven but gentle lustre, with beads chosen more for visible rhythm than identical size giving the eye a place to pause. The worked parts of the small pearl necklace are decorative, but none suggest a moving catch or concealed compartment. The piece would signal wealthy taste while remaining straightforward jewellery."
Neck adornment,medieval_jewellery_neck_lapis_bead_necklace,a lapis bead necklace,necklace,lapis lazuli,VerySmall,Good,70.0,180.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Luxury Jewellery,,,"Seen flat, lapis bead necklace shows a slight unevenness that would soften once worn. The front has the best polish and spacing, while the back is plainer and more practical. The worked parts of the lapis bead necklace are decorative, but none suggest a moving catch or concealed compartment. The lapis bead necklace feels selected for appearance first, with practical wearing kept secondary."
Neck adornment,medieval_jewellery_neck_carnelibead_necklace,a carnelian bead necklace,necklace,carnelian,VerySmall,Good,70.0,90.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Merchant Jewellery,,,"Seen flat, carnelian bead necklace shows a slight unevenness that would soften once worn. The front has the best polish and spacing, while the back is plainer and more practical. Close inspection of the carnelian bead necklace shows small tool marks rather than cast-perfect smoothness. The carnelian bead necklace is meant to be noticed in wear, but nothing about it implies armour or magic."
Neck adornment,medieval_jewellery_neck_turquoise_bead_necklace,a turquoise bead necklace,necklace,turquoise,VerySmall,Good,70.0,150.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Luxury Jewellery,,,"A turquoise bead necklace carries its value in the rhythm of its material: blue-green turquoise with fine darker lines. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Fine wear gathers around the necklace's highest places, leaving beads chosen more for visible rhythm than identical size easier to pick out. The turquoise bead necklace reads as wealthy adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_jade_bead_necklace,a jade bead necklace,necklace,jade,VerySmall,Good,70.0,210.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Luxury Jewellery,,,"A jade bead necklace is arranged for the throat or upper chest, where its line of green jade smoothed to a cool waxy finish would be plainly visible. A few beads, links, or turns sit out of strict order, making the hand assembly part of the charm. The hidden side of the jade bead necklace is plainer, so attention stays on beads chosen more for visible rhythm than identical size and the visible finish. The jade bead necklace reads as wealthy adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_rock_crystal_necklace,a rock crystal necklace,necklace,rock crystal,VerySmall,Good,70.0,170.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Luxury Jewellery,,,"Seen flat, rock crystal necklace shows a slight unevenness that would soften once worn. The front has the best polish and spacing, while the back is plainer and more practical. The hidden side of the rock crystal necklace is plainer, so attention stays on beads chosen more for visible rhythm than identical size and the visible finish. The rock crystal necklace carries value through visible material and workmanship, not through hidden mechanism."
Neck adornment,medieval_jewellery_neck_agate_bead_string,an agate bead string,necklace,agate,VerySmall,Standard,70.0,46.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,,,"An agate bead string carries its value in the rhythm of its material: agate. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Small handling marks cross the agate bead string unevenly, especially where it would brush cloth or skin. The agate bead string feels selected for appearance first, with practical wearing kept secondary."
Neck adornment,medieval_jewellery_neck_jasper_bead_string,a jasper bead string,necklace,jasper,VerySmall,Standard,70.0,42.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,,,"A jasper bead string carries its value in the rhythm of its material: jasper. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Close inspection of the jasper bead string shows small tool marks rather than cast-perfect smoothness. The jasper bead string feels selected for appearance first, with practical wearing kept secondary."
Neck adornment,medieval_jewellery_neck_chalcedony_bead_string,a chalcedony bead string,necklace,chalcedony,VerySmall,Standard,70.0,48.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,,,"A chalcedony bead string is arranged for the throat or upper chest, where its line of chalcedony would be plainly visible. A few beads, links, or turns sit out of strict order, making the hand assembly part of the charm. Close inspection of the chalcedony bead string shows small tool marks rather than cast-perfect smoothness. The chalcedony bead string reads as ordinary market adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_quartz_bead_string,a quartz bead string,necklace,quartz,VerySmall,Standard,70.0,34.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,,,"The quartz bead string falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is quartz, with beads chosen more for visible rhythm than identical size giving the eye a place to pause. Fine wear gathers around the necklace's highest places, leaving beads chosen more for visible rhythm than identical size easier to pick out. The quartz bead string feels selected for appearance first, with practical wearing kept secondary."
Neck adornment,medieval_jewellery_neck_plain_bronze_chain,a plain bronze chain,chain,bronze,VerySmall,Good,55.0,44.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,,,"Seen flat, plain bronze chain shows a slight unevenness that would soften once worn. The front has the best polish and spacing, while the back is plainer and more practical. Close inspection of the plain bronze chain shows small tool marks rather than cast-perfect smoothness. The plain bronze chain reads as ordinary market adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_narrow_silver_chain,a narrow silver chain,chain,silver,VerySmall,Good,48.0,115.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Merchant Jewellery,,,"The narrow silver chain falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is pale silver brightened at its raised surfaces, with links or knots set at slightly irregular intervals giving the eye a place to pause. Close inspection of the narrow silver chain shows small tool marks rather than cast-perfect smoothness. The narrow silver chain leaves room for local marks or motifs without needing a different base object."
Neck adornment,medieval_jewellery_neck_gold_link_chain,a gold link chain,chain,gold,VerySmall,Good,62.0,520.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Noble Jewellery,,,"A gold link chain is arranged for the throat or upper chest, where its line of deep yellow gold with a warm, steady shine would be plainly visible. A few beads, links, or turns sit out of strict order, making the hand assembly part of the charm. Rubbing has brightened the exposed parts of the gold link chain without making it look neglected. The gold link chain carries value through visible material and workmanship, not through hidden mechanism."
Neck adornment,medieval_jewellery_neck_silver_gilt_collar_chain,a silver-gilt collar chain,chain,silver-gilt,VerySmall,Good,80.0,260.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Luxury Jewellery,,,"A silver-gilt collar chain is arranged for the throat or upper chest, where its line of gold-washed silver, brighter on the raised places and paler at worn edges would be plainly visible. A few beads, links, or turns sit out of strict order, making the hand assembly part of the charm. The hidden side of the silver-gilt collar chain is plainer, so attention stays on links or knots set at slightly irregular intervals and the visible finish. The piece would signal wealthy taste while remaining straightforward jewellery."
Neck adornment,medieval_jewellery_neck_brass_merchant_chain,a brass merchant chain,chain,brass,VerySmall,Good,70.0,76.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Merchant Jewellery,,,"The brass merchant chain falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is yellow brass polished brighter on the edges, with links or knots set at slightly irregular intervals giving the eye a place to pause. The hidden side of the brass merchant chain is plainer, so attention stays on links or knots set at slightly irregular intervals and the visible finish. The brass merchant chain carries value through visible material and workmanship, not through hidden mechanism."
Neck adornment,medieval_jewellery_neck_heavy_court_chain,a heavy court chain,chain,gold,VerySmall,Good,160.0,1100.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Court Jewellery,,,"Seen flat, heavy court chain shows a slight unevenness that would soften once worn. The front has the best polish and spacing, while the back is plainer and more practical. The worked parts of the heavy court chain are decorative, but none suggest a moving catch or concealed compartment. The heavy court chain reads as courtly adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_double_strand_silver_necklace,a double-strand silver necklace,necklace,silver,VerySmall,Good,82.0,180.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Luxury Jewellery,,,"The double-strand silver necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is pale silver brightened at its raised surfaces, with links or knots set at slightly irregular intervals giving the eye a place to pause. Close inspection of the double-strand silver necklace shows small tool marks rather than cast-perfect smoothness. The double-strand silver necklace is meant to be noticed in wear, but nothing about it implies armour or magic."
Neck adornment,medieval_jewellery_neck_small_pendant_chain,a small pendant chain,chain,silver,VerySmall,Good,42.0,88.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Merchant Jewellery,,,"The small pendant chain falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is pale silver brightened at its raised surfaces, with links or knots set at slightly irregular intervals giving the eye a place to pause. Small handling marks cross the small pendant chain unevenly, especially where it would brush cloth or skin. The small pendant chain carries value through visible material and workmanship, not through hidden mechanism."
Neck adornment,medieval_jewellery_neck_leather_token_necklace,a leather token necklace,necklace,leather,VerySmall,Good,28.0,8.0m,Holdable; Wear_Necklace; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Commoner Jewellery,,,"The leather token necklace falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is worked leather with creases at the folds, with links or knots set at slightly irregular intervals giving the eye a place to pause. Rubbing has brightened the exposed parts of the leather token necklace without making it look neglected. The leather token necklace reads as commoner adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_silk_cord_necklace,a silk cord necklace,necklace,silk,VerySmall,Good,18.0,18.0m,Holdable; Wear_Necklace; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,,,"A silk cord necklace carries its value in the rhythm of its material: silk cord with a soft light across its twist. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. The worked parts of the silk cord necklace are decorative, but none suggest a moving catch or concealed compartment. The piece would signal ordinary market taste while remaining straightforward jewellery."
Neck adornment,medieval_jewellery_neck_hemp_cord_pendant_string,a hemp cord pendant string,necklace,hemp,VerySmall,Standard,12.0,3.0m,Holdable; Wear_Necklace; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Simple Jewellery,,,"The hemp cord pendant string falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is coarse hemp cord with small stray fibres, with links or knots set at slightly irregular intervals giving the eye a place to pause. The worked parts of the hemp cord pendant string are decorative, but none suggest a moving catch or concealed compartment. The hemp cord pendant string feels selected for appearance first, with practical wearing kept secondary."
Neck adornment,medieval_jewellery_neck_gold_pendant_necklace,a gold pendant necklace,necklace,gold,VerySmall,Good,55.0,460.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Noble Jewellery,,,"A gold pendant necklace is arranged for the throat or upper chest, where its line of deep yellow gold with a warm, steady shine would be plainly visible. A few beads, links, or turns sit out of strict order, making the hand assembly part of the charm. The hidden side of the gold pendant necklace is plainer, so attention stays on links or knots set at slightly irregular intervals and the visible finish. The gold pendant necklace carries value through visible material and workmanship, not through hidden mechanism."
Neck adornment,medieval_jewellery_neck_silver_crescent_pendant,a silver crescent pendant,pendant,silver,VerySmall,Good,22.0,70.0m,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Merchant Jewellery,,,"A silver crescent pendant carries its value in the rhythm of its material: pale silver brightened at its raised surfaces. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Rubbing has brightened the exposed parts of the silver crescent pendant without making it look neglected. The silver crescent pendant reads as merchant adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_rock_crystal_pendant,a rock crystal pendant,pendant,rock crystal,VerySmall,Good,24.0,140.0m,Holdable; Wear_Necklace; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Luxury Jewellery,,,"A rock crystal pendant carries its value in the rhythm of its material: clear rock crystal with tiny inner veils. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. Small handling marks cross the rock crystal pendant unevenly, especially where it would brush cloth or skin. The rock crystal pendant carries value through visible material and workmanship, not through hidden mechanism."
Neck adornment,medieval_jewellery_neck_black_jet_choker,a black jet choker,choker,jet,VerySmall,Standard,40.0,38.0m,Holdable; Wear_Choker; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Chokers; Market / Jewellery / Standard Jewellery,,,"The black jet choker falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is black jet polished until it gives back a quiet reflection, with a close line meant to rest high on the throat giving the eye a place to pause. The hidden side of the black jet choker is plainer, so attention stays on a close line meant to rest high on the throat and the visible finish. The piece would signal ordinary market taste while remaining straightforward jewellery."
Neck adornment,medieval_jewellery_neck_red_silk_choker,a red silk choker,choker,silk,VerySmall,Standard,16.0,20.0m,Holdable; Wear_Choker; Destroyable_Clothing,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Chokers; Market / Jewellery / Standard Jewellery,,,"The red silk choker falls in a deliberate curve, not as a loose cord but as jewellery meant to frame the neckline. Its main body is silk cord with a soft light across its twist, with a close line meant to rest high on the throat giving the eye a place to pause. Small handling marks cross the red silk choker unevenly, especially where it would brush cloth or skin. The red silk choker reads as ordinary market adornment rather than a tool, charm, or container."
Neck adornment,medieval_jewellery_neck_silver_close_collar,a silver close collar,choker,silver,VerySmall,Good,65.0,150.0m,Holdable; Wear_Choker; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Chokers; Market / Jewellery / Luxury Jewellery,,,"Seen flat, silver close collar shows a slight unevenness that would soften once worn. The front has the best polish and spacing, while the back is plainer and more practical. Rubbing has brightened the exposed parts of the silver close collar without making it look neglected. The piece would signal wealthy taste while remaining straightforward jewellery."
Neck adornment,medieval_jewellery_neck_cowrie_shell_choker,a cowrie shell choker,choker,cowrie shell,VerySmall,Standard,38.0,14.0m,Holdable; Wear_Choker; Destroyable_Misc,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Chokers; Market / Jewellery / Commoner Jewellery,,,"Seen flat, cowrie shell choker shows a slight unevenness that would soften once worn. The front has the best polish and spacing, while the back is plainer and more practical. Fine wear gathers around the choker's highest places, leaving a close line meant to rest high on the throat easier to pick out. The piece would signal commoner taste while remaining straightforward jewellery."
Neck adornment,medieval_jewellery_neck_gold_bead_choker,a gold bead choker,choker,gold,VerySmall,Good,58.0,430.0m,Holdable; Wear_Choker; Destroyable_HeavyMetal,Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Chokers; Market / Jewellery / Noble Jewellery,,,"A gold bead choker carries its value in the rhythm of its material: deep yellow gold with a warm, steady shine. The elements are not all identical, but the spacing is careful enough that the variation feels intentional. The worked parts of the gold bead choker are decorative, but none suggest a moving catch or concealed compartment. The gold bead choker leaves room for local marks or motifs without needing a different base object."
