stable_reference	scope	family	name	description	long_description	taste	smell	colour	alcohol_per_litre	water_per_litre	food_satiation_per_litre	drink_satiation_per_litre	admission_profile
preindustrial_food_honeyed_coffee_infusion	Shared	Coffee	honeyed coffee infusion	dark sweetened coffee	Honey gives dark coffee a slight amber sheen around the edge.	It tastes bittersweet, floral, and strongly roasted.	Honey softens the powerful coffee fragrance.	black	0	.90	.25	3	CoffeeTrade
preindustrial_food_plain_cacao_drink	Shared	Chocolate	cacao drink	foamy dark cacao drink	Whisking leaves a light foam over this dark water-based cacao drink.	It tastes bitter, earthy, and richly chocolate-like.	Roasted cacao gives a deep warm aroma.	bold yellow	0	.90	1	2	CacaoTrade
preindustrial_food_spiced_cacao_drink	Shared	Chocolate	spiced cacao drink	aromatic dark cacao drink	Ground spice remains suspended beneath the foam of dark cacao.	It tastes bitter, warming, and intensely aromatic.	Cacao and spice fill the rising steam.	bold yellow	0	.90	1	2	CacaoTrade
preindustrial_food_honeyed_cacao_drink	Shared	Chocolate	honeyed cacao drink	sweet foamy cacao drink	Honey softens a dark cacao drink and gives its foam an amber edge.	It tastes bittersweet, floral, and richly chocolate-like.	Honey rounds the roasted cacao fragrance.	bold yellow	0	.85	1.50	2	CacaoTrade
preindustrial_food_creamy_cacao_drink	Shared	Chocolate	creamy cacao drink	thick pale-brown cacao drink	Dairy gives this cacao drink a thick, smooth, pale-brown body.	It tastes creamy, bitter, and gently sweet.	Warm milk and roasted cacao scent it.	bold yellow	0	.75	3	1.50	CacaoTrade
preindustrial_food_brown_meat_sauce	Shared	Sauce	brown meat sauce	glossy brown meat sauce	Reduced meat juices form a glossy sauce that clings heavily to food.	It tastes roasted, salty, and deeply savoury.	Browned meat and onion scent it.	bold yellow	0	.25	3	0	Universal
preindustrial_food_light_fowl_sauce	Shared	Sauce	light fowl sauce	pale golden fowl sauce	Fowl stock and fat reduce into a pale gold, spoon-coating sauce.	It tastes delicate, buttery, and herb-savoury.	Poultry, herbs, and warm fat rise gently.	yellow	0	.25	2	0	Universal
preindustrial_food_fish_savour_sauce	Shared	Sauce	fish savour sauce	thin brown fish sauce	Salted fish gives this thin brown cooking sauce a clear appearance.	It tastes intensely briny, fermented, and savoury.	Pungent fish and salt dominate its smell.	bold yellow	0	.10	2	0	MaritimeTrade
preindustrial_food_shellfish_reduction	Shared	Sauce	shellfish reduction	peach-brown shellfish sauce	Shellfish liquor reduces into a glossy peach-brown finishing sauce.	It tastes mineral, sweetly briny, and concentrated.	Warm shells and sea air scent it.	orange	0	.25	2	0	MaritimeTrade
preindustrial_food_mushroom_reduction_sauce	Shared	Sauce	mushroom reduction sauce	dark mushroom sauce	Mushroom juices form a dark, silky sauce with fine brown sediment.	It tastes woodsy, peppery, and richly savoury.	Earthy mushrooms give a damp roasted aroma.	bold yellow	0	.25	1	0	RegionalOldWorld
preindustrial_food_onion_gravy	Shared	Sauce	onion gravy	glossy amber onion gravy	Slow-cooked onions thicken this amber gravy into a glossy pour.	It tastes caramel-sweet, savoury, and gently salty.	Soft onions and roast juices scent it.	bold yellow	0	.25	2	0	Universal
preindustrial_food_garlic_herb_sauce	Shared	Sauce	garlic herb sauce	green-flecked garlic sauce	Crushed garlic and herbs make a pale sauce densely flecked with green.	It tastes pungent, fresh, and warmly savoury.	Garlic and cut leaves fill the aroma.	green	0	.25	1	0	Universal
preindustrial_food_sour_herb_sauce	Shared	Sauce	sour herb sauce	sharp green herb sauce	Fresh herbs suspend in a bright sour sauce of clear green-gold.	It tastes tart, leafy, and appetite-waking.	Acid and crushed herbs scent it sharply.	green	0	.25	.50	0	RegionalOldWorld
preindustrial_food_yoghurt_sauce	Shared	Sauce	yoghurt sauce	cool white yoghurt sauce	Strained yoghurt makes this white sauce smooth, thick, and cooling.	It tastes creamy, sour, and lightly salted.	Cultured dairy gives a clean tangy smell.	white	0	.25	2	0	RegionalOldWorld
preindustrial_food_cheese_sauce	Shared	Sauce	melted cheese sauce	thick golden cheese sauce	Melted cheese forms a thick golden sauce that stretches when poured.	It tastes salty, creamy, and richly matured.	Warm cheese provides a powerful dairy aroma.	yellow	0	.10	4	0	RegionalOldWorld
preindustrial_food_nut_sauce	Shared	Sauce	ground nut sauce	creamy tan nut sauce	Ground nuts give this tan cooking sauce a smooth, oily body.	It tastes toasted, creamy, and softly savoury.	Roasted nuts and spice shape the smell.	bold yellow	0	.10	4	0	RegionalOldWorld
preindustrial_food_fruit_meat_sauce	Shared	Sauce	tart fruit meat sauce	glossy ruby fruit sauce	Reduced tart fruit makes a ruby sauce intended for rich roasted meat.	It tastes sweet-sour, fruity, and warmly spiced.	Cooked fruit and pepper perfume it.	red	0	.25	1	0	RegionalOldWorld
preindustrial_food_chili_savour_sauce	Shared	Sauce	hot chile savour sauce	vivid red hot sauce	Crushed chile gives this thin savoury sauce a vivid red colour.	It tastes sharply hot, salty, and fruity.	Fresh pepper and fermentation scent it.	red	0	.25	.50	0	Mesoamerican
preindustrial_food_cacao_savour_sauce	Shared	Sauce	savoury cacao sauce	dark bitter cacao sauce	Cacao and spice make this savoury sauce dark brown and velvety.	It tastes bitter, aromatic, and richly complex.	Roasted cacao and warm spice scent it.	bold yellow	0	.10	2	0	CacaoTrade
preindustrial_food_walnut_cooking_oil	Shared	Oil	walnut cooking oil	clear gold walnut oil	Pressed walnuts produce a clear golden oil with a delicate body.	It tastes nutty, rich, and faintly bitter.	Fresh walnut gives a soft roasted scent.	yellow	0	0	6	0	RegionalOldWorld
preindustrial_food_hazelnut_cooking_oil	Shared	Oil	hazelnut cooking oil	pale amber hazelnut oil	This pale amber oil shines clearly after careful nut pressing.	It tastes toasted, sweet, and deeply nutty.	Roasted hazelnut perfumes the oil.	bold yellow	0	0	6	0	RegionalOldWorld
preindustrial_food_almond_cooking_oil	Shared	Oil	almond cooking oil	pale gold almond oil	Almond pressing yields a pale gold oil with very little sediment.	It tastes mild, buttery, and softly nutty.	Sweet almond gives a delicate fragrance.	yellow	0	0	6	0	RegionalOldWorld
preindustrial_food_poppyseed_cooking_oil	Shared	Oil	poppyseed cooking oil	clear yellow poppyseed oil	Tiny seeds produce a clear yellow oil of light consistency.	It tastes earthy, mild, and pleasantly nutty.	Poppyseed lends a quiet grassy aroma.	yellow	0	0	6	0	European
preindustrial_food_linseed_cooking_oil	Shared	Oil	linseed cooking oil	deep gold linseed oil	Pressed linseed gives this edible oil a deep golden colour.	It tastes grassy, earthy, and slightly bitter.	Seeds and cut grass shape the aroma.	bold yellow	0	0	6	0	RegionalOldWorld
preindustrial_food_hempseed_cooking_oil	Shared	Oil	hempseed cooking oil	green-gold hempseed oil	Hempseed tints this clear cooking oil a muted green-gold.	It tastes grassy, robust, and nut-like.	Crushed seed gives an earthy smell.	green	0	0	6	0	RegionalOldWorld
preindustrial_food_mustard_seed_oil	Shared	Oil	mustard seed oil	bright yellow pungent oil	Mustard seed yields a bright yellow oil with a sharp vapour.	It tastes pungent, hot, and richly oily.	Mustard heat dominates the nose.	bold yellow	0	0	6	0	SouthAsian
preindustrial_food_palm_fruit_oil	Shared	Oil	palm fruit oil	deep orange palm oil	Palm fruit produces an opaque orange-red oil that sets softly when cool.	It tastes earthy, fruity, and richly fatty.	Warm palm fruit gives a distinctive scent.	orange	0	0	6	0	SubSaharanAfrican
preindustrial_food_coconut_cooking_oil	Shared	Oil	coconut cooking oil	clear pale coconut oil	This pale oil is clear when warm and firm white when cooled.	It tastes creamy, sweet, and coconut-fragrant.	Fresh coconut gives a tropical aroma.	white	0	0	6	0	SouthAsian
preindustrial_food_grapeseed_cooking_oil	Shared	Oil	grapeseed cooking oil	pale green-gold grapeseed oil	Grape seeds yield a light, clear oil with green-gold highlights.	It tastes mild, dry, and faintly nutty.	Crushed grape seed gives little aroma.	green	0	0	6	0	RegionalOldWorld
preindustrial_food_dark_grain_vinegar	Shared	Vinegar	dark grain vinegar	deep brown grain vinegar	Fermented grain gives this clear vinegar a deep brown colour.	It tastes sharply sour, malty, and robust.	Dark grain and acid fill the nose.	bold yellow	0	.50	0	0	RegionalOldWorld
preindustrial_food_pale_grain_vinegar	Shared	Vinegar	pale grain vinegar	clear straw grain vinegar	A pale straw vinegar retains only a light tint from fermented grain.	It tastes clean, sour, and faintly cereal-like.	Sharp acid carries a mild grain scent.	yellow	0	.50	0	0	RegionalOldWorld
preindustrial_food_rice_vinegar	Shared	Vinegar	rice vinegar	clear pale rice vinegar	Rice fermentation produces a nearly colourless, softly aromatic vinegar.	It tastes mild, clean, and gently sour.	Soft acid and rice shape the aroma.	white	0	.50	0	0	EastAsian
preindustrial_food_apple_vinegar	Shared	Vinegar	apple vinegar	cloudy gold apple vinegar	Apple sediment leaves this golden vinegar faintly cloudy.	It tastes fruity, tart, and sharply acidic.	Apple peel rides above the vinegar scent.	yellow	0	.50	0	0	RegionalOldWorld
preindustrial_food_pear_vinegar	Shared	Vinegar	pear vinegar	pale floral pear vinegar	This pale vinegar preserves a delicate perfume from ripe pears.	It tastes floral, sour, and softly fruity.	Pear fragrance tempers the sharp acid smell.	white	0	.50	0	0	RegionalOldWorld
preindustrial_food_plum_vinegar	Shared	Vinegar	plum vinegar	clear ruby plum vinegar	Plum skins give this clear fruit vinegar a ruby tint.	It tastes winey, sour, and faintly sweet.	Dark fruit mingles with bright acidity.	red	0	.50	0	0	RegionalOldWorld
preindustrial_food_berry_vinegar	Shared	Vinegar	berry vinegar	crimson berry vinegar	A vivid crimson vinegar carries fine sediment from crushed berries.	It tastes sharply fruity and mouth-puckeringly sour.	Berry perfume rises through strong acid.	red	0	.50	0	0	Universal
preindustrial_food_date_vinegar	Shared	Vinegar	date vinegar	dark amber date vinegar	Dates lend this clear vinegar a dark amber, syrup-like colour.	It tastes caramel-fruity, sour, and rich.	Date sweetness underlies the acid aroma.	bold yellow	0	.50	0	0	Islamicate
preindustrial_food_honey_vinegar	Shared	Vinegar	honey vinegar	clear golden honey vinegar	Fermented honey creates a clear gold vinegar with floral traces.	It tastes brightly sour with a delicate sweetness.	Flowers and acid share the fragrance.	yellow	0	.50	0	0	Universal
preindustrial_food_herbed_vinegar	Shared	Vinegar	herbed vinegar	green-flecked aromatic vinegar	Steeped herbs tint clear vinegar green and leave small leaf fragments.	It tastes sharp, leafy, and strongly aromatic.	Crushed herbs soften the piercing acid smell.	green	0	.50	0	0	RegionalOldWorld
preindustrial_food_plain_honey_syrup	Shared	Syrup	honey dilution syrup	clear amber honey syrup	Honey thinned for pouring forms a clear amber, slow-moving syrup.	It tastes floral, rich, and purely sweet.	Warm honey and beeswax scent it.	bold yellow	0	.10	5	0	Universal
preindustrial_food_spiced_honey_syrup	Shared	Syrup	spiced honey syrup	aromatic amber honey syrup	Ground spice darkens flowing honey syrup and leaves fine flecks.	It tastes warming, floral, and intensely sweet.	Honey and spice fill the aroma.	bold yellow	0	.10	5	0	RegionalOldWorld
preindustrial_food_grape_reduction_syrup	Shared	Syrup	grape reduction syrup	dark purple grape syrup	Reduced grape must forms a thick, glossy purple-black syrup.	It tastes winey, fruity, and richly sweet.	Cooked grape and caramel scent it.	magenta	0	.10	5	0	RegionalOldWorld
preindustrial_food_date_reduction_syrup	Shared	Syrup	date reduction syrup	dark brown date syrup	Cooked dates yield a dark brown syrup with a heavy pour.	It tastes caramel-like, earthy, and very sweet.	Ripe date and dark sugar shape the smell.	bold yellow	0	.10	5	0	Islamicate
preindustrial_food_fig_reduction_syrup	Shared	Syrup	fig reduction syrup	amber-brown fig syrup	Fig pulp reduces into a seed-flecked amber-brown syrup.	It tastes jammy, earthy, and honey-sweet.	Cooked fig gives a warm fruity aroma.	bold yellow	0	.10	5	0	RegionalOldWorld
preindustrial_food_apple_reduction_syrup	Shared	Syrup	apple reduction syrup	clear russet apple syrup	Concentrated apple juice forms a clear russet pouring syrup.	It tastes tart, caramelised, and richly fruity.	Cooked apple and browned sugar scent it.	bold yellow	0	.10	5	0	RegionalOldWorld
preindustrial_food_berry_reduction_syrup	Shared	Syrup	berry reduction syrup	deep crimson berry syrup	Reduced mixed berry juice makes a glossy deep crimson syrup.	It tastes tart, vivid, and intensely sweet.	Cooked berries give a powerful fruit smell.	red	0	.10	5	0	Universal
preindustrial_food_sugar_cooking_syrup	Shared	Syrup	refined sugar cooking syrup	clear heavy sugar syrup	Refined sugar dissolved for confectionery makes a clear, heavy syrup.	It tastes cleanly and overwhelmingly sweet.	Hot sugar gives a faint caramel smell.	white	0	.10	6	0	SugarTrade
