OutfitReference	Name	Description	EraAdmissions	ItemStableReferences
industrialised_outfit_079	Industrialised medical loadout 79	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0336_compact_dress;industrialised_clothing_footwear_uniforms_0337_compact_jacket;industrialised_clothing_footwear_uniforms_0338_compact_hat;industrialised_clothing_footwear_uniforms_0339_compact_gloves
industrialised_outfit_080	Industrialised service loadout 80	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0340_compact_scarf;industrialised_clothing_footwear_uniforms_0341_compact_skirt;industrialised_clothing_footwear_uniforms_0342_compact_socks;industrialised_clothing_footwear_uniforms_0343_compact_vest
industrialised_outfit_081	Industrialised domestic loadout 81	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0344_compact_coat;industrialised_clothing_footwear_uniforms_0345_compact_smock;industrialised_clothing_footwear_uniforms_0347_heavy_duty_apron;industrialised_clothing_footwear_uniforms_0348_heavy_duty_shirt
industrialised_outfit_082	Industrialised workshop loadout 82	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0349_heavy_duty_trousers;industrialised_clothing_footwear_uniforms_0350_heavy_duty_boots;industrialised_clothing_footwear_uniforms_0351_heavy_duty_dress;industrialised_clothing_footwear_uniforms_0352_heavy_duty_jacket
industrialised_outfit_083	Industrialised field loadout 83	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0353_heavy_duty_hat;industrialised_clothing_footwear_uniforms_0354_heavy_duty_gloves;industrialised_clothing_footwear_uniforms_0355_heavy_duty_scarf;industrialised_clothing_footwear_uniforms_0356_heavy_duty_skirt
industrialised_outfit_084	Industrialised retail loadout 84	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0357_heavy_duty_socks;industrialised_clothing_footwear_uniforms_0358_heavy_duty_vest;industrialised_clothing_footwear_uniforms_0359_heavy_duty_coat;industrialised_clothing_footwear_uniforms_0360_heavy_duty_smock
industrialised_outfit_085	Industrialised institutional loadout 85	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0362_folding_apron;industrialised_clothing_footwear_uniforms_0363_folding_shirt;industrialised_clothing_footwear_uniforms_0364_folding_trousers;industrialised_clothing_footwear_uniforms_0365_folding_boots
industrialised_outfit_086	Industrialised transport loadout 86	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0366_folding_dress;industrialised_clothing_footwear_uniforms_0367_folding_jacket;industrialised_clothing_footwear_uniforms_0368_folding_hat;industrialised_clothing_footwear_uniforms_0369_folding_gloves
industrialised_outfit_087	Industrialised civic loadout 87	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0370_folding_scarf;industrialised_clothing_footwear_uniforms_0371_folding_skirt;industrialised_clothing_footwear_uniforms_0372_folding_socks;industrialised_clothing_footwear_uniforms_0373_folding_vest
industrialised_outfit_088	Industrialised commercial loadout 88	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0374_folding_coat;industrialised_clothing_footwear_uniforms_0375_folding_smock;industrialised_clothing_footwear_uniforms_0377_portable_apron;industrialised_clothing_footwear_uniforms_0378_portable_shirt
industrialised_outfit_089	Industrialised medical loadout 89	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0379_portable_trousers;industrialised_clothing_footwear_uniforms_0380_portable_boots;industrialised_clothing_footwear_uniforms_0381_portable_dress;industrialised_clothing_footwear_uniforms_0382_portable_jacket
industrialised_outfit_090	Industrialised service loadout 90	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0383_portable_hat;industrialised_clothing_footwear_uniforms_0384_portable_gloves;industrialised_clothing_footwear_uniforms_0385_portable_scarf;industrialised_clothing_footwear_uniforms_0386_portable_skirt
industrialised_outfit_091	Industrialised domestic loadout 91	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0387_portable_socks;industrialised_clothing_footwear_uniforms_0388_portable_vest;industrialised_clothing_footwear_uniforms_0389_portable_coat;industrialised_clothing_footwear_uniforms_0390_portable_smock
industrialised_outfit_092	Industrialised workshop loadout 92	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0392_workshop_apron;industrialised_clothing_footwear_uniforms_0393_workshop_shirt;industrialised_clothing_footwear_uniforms_0394_workshop_trousers;industrialised_clothing_footwear_uniforms_0395_workshop_boots
industrialised_outfit_093	Industrialised field loadout 93	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0396_workshop_dress;industrialised_clothing_footwear_uniforms_0397_workshop_jacket;industrialised_clothing_footwear_uniforms_0398_workshop_hat;industrialised_clothing_footwear_uniforms_0399_workshop_gloves
industrialised_outfit_094	Industrialised retail loadout 94	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0400_workshop_scarf;industrialised_clothing_footwear_uniforms_0401_workshop_skirt;industrialised_clothing_footwear_uniforms_0402_workshop_socks;industrialised_clothing_footwear_uniforms_0403_workshop_vest
industrialised_outfit_095	Industrialised institutional loadout 95	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0404_workshop_coat;industrialised_clothing_footwear_uniforms_0405_workshop_smock;industrialised_clothing_footwear_uniforms_0407_institutional_apron;industrialised_clothing_footwear_uniforms_0408_institutional_shirt
industrialised_outfit_096	Industrialised transport loadout 96	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0409_institutional_trousers;industrialised_clothing_footwear_uniforms_0410_institutional_boots;industrialised_clothing_footwear_uniforms_0411_institutional_dress;industrialised_clothing_footwear_uniforms_0412_institutional_jacket
industrialised_outfit_097	Industrialised civic loadout 97	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0413_institutional_hat;industrialised_clothing_footwear_uniforms_0414_institutional_gloves;industrialised_clothing_footwear_uniforms_0415_institutional_scarf;industrialised_clothing_footwear_uniforms_0416_institutional_skirt
industrialised_outfit_098	Industrialised commercial loadout 98	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0417_institutional_socks;industrialised_clothing_footwear_uniforms_0418_institutional_vest;industrialised_clothing_footwear_uniforms_0419_institutional_coat;industrialised_clothing_footwear_uniforms_0420_institutional_smock
industrialised_outfit_099	Industrialised medical loadout 99	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0422_weatherproof_apron;industrialised_clothing_footwear_uniforms_0423_weatherproof_shirt;industrialised_clothing_footwear_uniforms_0424_weatherproof_trousers;industrialised_clothing_footwear_uniforms_0425_weatherproof_boots
industrialised_outfit_100	Industrialised service loadout 100	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0426_weatherproof_dress;industrialised_clothing_footwear_uniforms_0427_weatherproof_jacket;industrialised_clothing_footwear_uniforms_0428_weatherproof_hat;industrialised_clothing_footwear_uniforms_0429_weatherproof_gloves
