Profile	Order	Role	Category	Description	SourceReference	Quantity	Unit	Allergens
ingredient_modern_food_preserve_condiment_003	1	defining ingredient	Other	standardised fruit chutney (modern form)	same-graph	100	g	
ingredient_modern_food_preserve_condiment_004	1	defining ingredient	Other	standardised vegetable pickle (modern form)	same-graph	100	g	
ingredient_nuclear_food_preserve_condiment_001	1	defining ingredient	Other	standardised tomato sauce (nuclear form)	same-graph	100	g	
ingredient_information_food_preserve_condiment_001	1	defining ingredient	Other	standardised tomato sauce (information form)	same-graph	100	g	
ingredient_information_food_preserve_condiment_002	1	defining ingredient	Other	standardised mustard emulsion (information form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_001	1	defining ingredient	Other	standardised refined wheat flour (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_002	1	defining ingredient	Other	standardised corn starch (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_003	1	defining ingredient	Other	standardised malted grain extract (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_004	1	defining ingredient	Other	standardised gelatine powder (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_005	1	defining ingredient	Other	standardised baking powder (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_006	1	defining ingredient	Other	standardised dried yeast (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_007	1	defining ingredient	Other	standardised cocoa powder (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_008	1	defining ingredient	Other	standardised meat extract (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_009	1	defining ingredient	Other	standardised vegetable concentrate (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_010	1	defining ingredient	Other	standardised custard powder (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_011	1	defining ingredient	Other	institutional refined wheat flour (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_012	1	defining ingredient	Other	institutional corn starch (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_013	1	defining ingredient	Other	institutional malted grain extract (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_intermediate_014	1	defining ingredient	Other	institutional gelatine powder (industrialised form)	same-graph	100	g	
ingredient_industrial_food_intermediate_001	1	defining ingredient	Other	standardised refined wheat flour (industrial form)	same-graph	100	g	
ingredient_industrial_food_intermediate_002	1	defining ingredient	Other	standardised corn starch (industrial form)	same-graph	100	g	
ingredient_industrial_food_intermediate_003	1	defining ingredient	Other	standardised malted grain extract (industrial form)	same-graph	100	g	
ingredient_modern_food_intermediate_001	1	defining ingredient	Other	standardised refined wheat flour (modern form)	same-graph	100	g	
ingredient_modern_food_intermediate_002	1	defining ingredient	Other	standardised corn starch (modern form)	same-graph	100	g	
ingredient_modern_food_intermediate_003	1	defining ingredient	Other	standardised malted grain extract (modern form)	same-graph	100	g	
ingredient_modern_food_intermediate_004	1	defining ingredient	Other	standardised gelatine powder (modern form)	same-graph	100	g	
ingredient_nuclear_food_intermediate_001	1	defining ingredient	Other	standardised refined wheat flour (nuclear form)	same-graph	100	g	
ingredient_nuclear_food_intermediate_002	1	defining ingredient	Other	standardised corn starch (nuclear form)	same-graph	100	g	
ingredient_information_food_intermediate_001	1	defining ingredient	Other	standardised refined wheat flour (information form)	same-graph	100	g	
ingredient_information_food_intermediate_002	1	defining ingredient	Other	standardised corn starch (information form)	same-graph	100	g	
ingredient_industrialised_food_dessert_001	1	defining ingredient	Other	standardised set jelly (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_002	1	defining ingredient	Other	standardised milk ice (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_003	1	defining ingredient	Other	standardised custard pudding (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_004	1	defining ingredient	Other	standardised fruit pudding (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_005	1	defining ingredient	Other	standardised sponge pudding (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_006	1	defining ingredient	Other	standardised chocolate confection (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_007	1	defining ingredient	Other	standardised caramel sweet (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_008	1	defining ingredient	Other	standardised wafer biscuit (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_009	1	defining ingredient	Other	standardised frozen fruit ice (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_010	1	defining ingredient	Other	standardised sweetened rice pudding (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_011	1	defining ingredient	Other	institutional set jelly (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_012	1	defining ingredient	Other	institutional milk ice (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_013	1	defining ingredient	Other	institutional custard pudding (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_014	1	defining ingredient	Other	institutional fruit pudding (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_015	1	defining ingredient	Other	institutional sponge pudding (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_016	1	defining ingredient	Other	institutional chocolate confection (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_017	1	defining ingredient	Other	institutional caramel sweet (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_dessert_018	1	defining ingredient	Other	institutional wafer biscuit (industrialised form)	same-graph	100	g	
ingredient_industrial_food_dessert_001	1	defining ingredient	Other	standardised set jelly (industrial form)	same-graph	100	g	
ingredient_industrial_food_dessert_002	1	defining ingredient	Other	standardised milk ice (industrial form)	same-graph	100	g	
ingredient_industrial_food_dessert_003	1	defining ingredient	Other	standardised custard pudding (industrial form)	same-graph	100	g	
ingredient_modern_food_dessert_001	1	defining ingredient	Other	standardised set jelly (modern form)	same-graph	100	g	
ingredient_modern_food_dessert_002	1	defining ingredient	Other	standardised milk ice (modern form)	same-graph	100	g	
ingredient_modern_food_dessert_003	1	defining ingredient	Other	standardised custard pudding (modern form)	same-graph	100	g	
ingredient_modern_food_dessert_004	1	defining ingredient	Other	standardised fruit pudding (modern form)	same-graph	100	g	
ingredient_modern_food_dessert_005	1	defining ingredient	Other	standardised sponge pudding (modern form)	same-graph	100	g	
ingredient_modern_food_dessert_006	1	defining ingredient	Other	standardised chocolate confection (modern form)	same-graph	100	g	
ingredient_nuclear_food_dessert_001	1	defining ingredient	Other	standardised set jelly (nuclear form)	same-graph	100	g	
ingredient_nuclear_food_dessert_002	1	defining ingredient	Other	standardised milk ice (nuclear form)	same-graph	100	g	
ingredient_information_food_dessert_001	1	defining ingredient	Other	standardised set jelly (information form)	same-graph	100	g	
ingredient_information_food_dessert_002	1	defining ingredient	Other	standardised milk ice (information form)	same-graph	100	g	
ingredient_information_food_dessert_003	1	defining ingredient	Other	standardised custard pudding (information form)	same-graph	100	g	
ingredient_information_food_dessert_004	1	defining ingredient	Other	standardised fruit pudding (information form)	same-graph	100	g	
ingredient_industrialised_food_snack_001	1	defining ingredient	Other	standardised potato crisp (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_002	1	defining ingredient	Other	standardised puffed grain (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_003	1	defining ingredient	Other	standardised roasted seed snack (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_004	1	defining ingredient	Other	standardised cracker biscuit (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_005	1	defining ingredient	Other	standardised salted nut snack (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_006	1	defining ingredient	Other	standardised fruit bar (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_007	1	defining ingredient	Other	standardised wafer snack (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_008	1	defining ingredient	Other	standardised corn crisp (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_009	1	defining ingredient	Other	standardised savoury pretzel (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_010	1	defining ingredient	Other	standardised sweet biscuit (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_011	1	defining ingredient	Other	institutional potato crisp (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_012	1	defining ingredient	Other	institutional puffed grain (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_013	1	defining ingredient	Other	institutional roasted seed snack (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_014	1	defining ingredient	Other	institutional cracker biscuit (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_015	1	defining ingredient	Other	institutional salted nut snack (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_snack_016	1	defining ingredient	Other	institutional fruit bar (industrialised form)	same-graph	100	g	
ingredient_industrial_food_snack_001	1	defining ingredient	Other	standardised potato crisp (industrial form)	same-graph	100	g	
ingredient_industrial_food_snack_002	1	defining ingredient	Other	standardised puffed grain (industrial form)	same-graph	100	g	
ingredient_modern_food_snack_001	1	defining ingredient	Other	standardised potato crisp (modern form)	same-graph	100	g	
ingredient_modern_food_snack_002	1	defining ingredient	Other	standardised puffed grain (modern form)	same-graph	100	g	
ingredient_modern_food_snack_003	1	defining ingredient	Other	standardised roasted seed snack (modern form)	same-graph	100	g	
ingredient_modern_food_snack_004	1	defining ingredient	Other	standardised cracker biscuit (modern form)	same-graph	100	g	
ingredient_modern_food_snack_005	1	defining ingredient	Other	standardised salted nut snack (modern form)	same-graph	100	g	
ingredient_nuclear_food_snack_001	1	defining ingredient	Other	standardised potato crisp (nuclear form)	same-graph	100	g	
ingredient_nuclear_food_snack_002	1	defining ingredient	Other	standardised puffed grain (nuclear form)	same-graph	100	g	
ingredient_information_food_snack_001	1	defining ingredient	Other	standardised potato crisp (information form)	same-graph	100	g	
ingredient_information_food_snack_002	1	defining ingredient	Other	standardised puffed grain (information form)	same-graph	100	g	
ingredient_information_food_snack_003	1	defining ingredient	Other	standardised roasted seed snack (information form)	same-graph	100	g	
ingredient_industrialised_food_ration_001	1	defining ingredient	Other	standardised compressed field ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_002	1	defining ingredient	Other	standardised hardtack ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_003	1	defining ingredient	Other	standardised meat-and-biscuit ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_004	1	defining ingredient	Other	standardised emergency glucose ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_005	1	defining ingredient	Other	standardised dried soup ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_006	1	defining ingredient	Other	standardised concentrated travel ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_007	1	defining ingredient	Other	standardised lifeboat ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_008	1	defining ingredient	Other	standardised hospital convalescent ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_009	1	defining ingredient	Other	standardised school meal ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_010	1	defining ingredient	Other	standardised expedition ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_011	1	defining ingredient	Other	institutional compressed field ration (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_ration_012	1	defining ingredient	Other	institutional hardtack ration (industrialised form)	same-graph	100	g	
ingredient_industrial_food_ration_001	1	defining ingredient	Other	standardised compressed field ration (industrial form)	same-graph	100	g	
ingredient_industrial_food_ration_002	1	defining ingredient	Other	standardised hardtack ration (industrial form)	same-graph	100	g	
ingredient_industrial_food_ration_003	1	defining ingredient	Other	standardised meat-and-biscuit ration (industrial form)	same-graph	100	g	
ingredient_modern_food_ration_001	1	defining ingredient	Other	standardised compressed field ration (modern form)	same-graph	100	g	
ingredient_modern_food_ration_002	1	defining ingredient	Other	standardised hardtack ration (modern form)	same-graph	100	g	
ingredient_modern_food_ration_003	1	defining ingredient	Other	standardised meat-and-biscuit ration (modern form)	same-graph	100	g	
ingredient_modern_food_ration_004	1	defining ingredient	Other	standardised emergency glucose ration (modern form)	same-graph	100	g	
ingredient_nuclear_food_ration_001	1	defining ingredient	Other	standardised compressed field ration (nuclear form)	same-graph	100	g	
ingredient_nuclear_food_ration_002	1	defining ingredient	Other	standardised hardtack ration (nuclear form)	same-graph	100	g	
ingredient_information_food_ration_001	1	defining ingredient	Other	standardised compressed field ration (information form)	same-graph	100	g	
ingredient_information_food_ration_002	1	defining ingredient	Other	standardised hardtack ration (information form)	same-graph	100	g	
ingredient_information_food_ration_003	1	defining ingredient	Other	standardised meat-and-biscuit ration (information form)	same-graph	100	g	
ingredient_industrialised_food_infant_dietetic_001	1	defining ingredient	Other	standardised infant cereal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_infant_dietetic_002	1	defining ingredient	Other	standardised malted milk food (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_infant_dietetic_003	1	defining ingredient	Other	standardised strained vegetable food (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_infant_dietetic_004	1	defining ingredient	Other	standardised strained fruit food (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_infant_dietetic_005	1	defining ingredient	Other	standardised soft protein food (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_infant_dietetic_006	1	defining ingredient	Other	standardised low-residue meal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_infant_dietetic_007	1	defining ingredient	Other	standardised fortified gruel (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_infant_dietetic_008	1	defining ingredient	Other	standardised oral rehydration food (industrialised form)	same-graph	100	g	
ingredient_industrial_food_infant_dietetic_001	1	defining ingredient	Other	standardised infant cereal (industrial form)	same-graph	100	g	
ingredient_modern_food_infant_dietetic_001	1	defining ingredient	Other	standardised infant cereal (modern form)	same-graph	100	g	
ingredient_modern_food_infant_dietetic_002	1	defining ingredient	Other	standardised malted milk food (modern form)	same-graph	100	g	
ingredient_modern_food_infant_dietetic_003	1	defining ingredient	Other	standardised strained vegetable food (modern form)	same-graph	100	g	
ingredient_nuclear_food_infant_dietetic_001	1	defining ingredient	Other	standardised infant cereal (nuclear form)	same-graph	100	g	
ingredient_nuclear_food_infant_dietetic_002	1	defining ingredient	Other	standardised malted milk food (nuclear form)	same-graph	100	g	
ingredient_information_food_infant_dietetic_001	1	defining ingredient	Other	standardised infant cereal (information form)	same-graph	100	g	
ingredient_information_food_infant_dietetic_002	1	defining ingredient	Other	standardised malted milk food (information form)	same-graph	100	g	
ingredient_information_food_infant_dietetic_003	1	defining ingredient	Other	standardised strained vegetable food (information form)	same-graph	100	g	
ingredient_industrialised_food_animal_feed_001	1	defining ingredient	Other	standardised dairy cattle meal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_animal_feed_002	1	defining ingredient	Other	standardised poultry layer mash (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_animal_feed_003	1	defining ingredient	Other	standardised poultry grower mash (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_animal_feed_004	1	defining ingredient	Other	standardised working horse cubes (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_animal_feed_005	1	defining ingredient	Other	standardised pig finishing meal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_animal_feed_006	1	defining ingredient	Other	standardised calf milk replacer (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_animal_feed_007	1	defining ingredient	Other	standardised companion dog meal (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_animal_feed_008	1	defining ingredient	Other	standardised companion cat meal (industrialised form)	same-graph	100	g	
ingredient_industrial_food_animal_feed_001	1	defining ingredient	Other	standardised dairy cattle meal (industrial form)	same-graph	100	g	
ingredient_industrial_food_animal_feed_002	1	defining ingredient	Other	standardised poultry layer mash (industrial form)	same-graph	100	g	
ingredient_modern_food_animal_feed_001	1	defining ingredient	Other	standardised dairy cattle meal (modern form)	same-graph	100	g	
ingredient_modern_food_animal_feed_002	1	defining ingredient	Other	standardised poultry layer mash (modern form)	same-graph	100	g	
ingredient_nuclear_food_animal_feed_001	1	defining ingredient	Other	standardised dairy cattle meal (nuclear form)	same-graph	100	g	
ingredient_information_food_animal_feed_001	1	defining ingredient	Other	standardised dairy cattle meal (information form)	same-graph	100	g	
ingredient_information_food_animal_feed_002	1	defining ingredient	Other	standardised poultry layer mash (information form)	same-graph	100	g	
ingredient_industrialised_food_non_alcoholic_001	1	defining ingredient	Other	standardised carbonated mineral water (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_002	1	defining ingredient	Other	standardised fruit cordial (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_003	1	defining ingredient	Other	standardised pasteurised fruit juice (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_004	1	defining ingredient	Other	standardised malted milk drink (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_005	1	defining ingredient	Other	standardised lemonade (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_006	1	defining ingredient	Other	standardised ginger beer (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_007	1	defining ingredient	Other	standardised cola-style tonic (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_008	1	defining ingredient	Other	standardised vegetable juice (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_009	1	defining ingredient	Other	standardised electrolyte drink (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_010	1	defining ingredient	Other	standardised flavoured milk (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_011	1	defining ingredient	Other	institutional carbonated mineral water (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_non_alcoholic_012	1	defining ingredient	Other	institutional fruit cordial (industrialised form)	same-graph	250	ml	
ingredient_industrial_food_non_alcoholic_001	1	defining ingredient	Other	standardised carbonated mineral water (industrial form)	same-graph	250	ml	
ingredient_industrial_food_non_alcoholic_002	1	defining ingredient	Other	standardised fruit cordial (industrial form)	same-graph	250	ml	
ingredient_modern_food_non_alcoholic_001	1	defining ingredient	Other	standardised carbonated mineral water (modern form)	same-graph	250	ml	
ingredient_modern_food_non_alcoholic_002	1	defining ingredient	Other	standardised fruit cordial (modern form)	same-graph	250	ml	
ingredient_modern_food_non_alcoholic_003	1	defining ingredient	Other	standardised pasteurised fruit juice (modern form)	same-graph	250	ml	
ingredient_modern_food_non_alcoholic_004	1	defining ingredient	Other	standardised malted milk drink (modern form)	same-graph	250	ml	
ingredient_nuclear_food_non_alcoholic_001	1	defining ingredient	Other	standardised carbonated mineral water (nuclear form)	same-graph	250	ml	
ingredient_nuclear_food_non_alcoholic_002	1	defining ingredient	Other	standardised fruit cordial (nuclear form)	same-graph	250	ml	
ingredient_information_food_non_alcoholic_001	1	defining ingredient	Other	standardised carbonated mineral water (information form)	same-graph	250	ml	
ingredient_information_food_non_alcoholic_002	1	defining ingredient	Other	standardised fruit cordial (information form)	same-graph	250	ml	
ingredient_information_food_non_alcoholic_003	1	defining ingredient	Other	standardised pasteurised fruit juice (information form)	same-graph	250	ml	
ingredient_industrialised_food_stimulant_001	1	defining ingredient	Other	standardised black tea infusion (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_stimulant_002	1	defining ingredient	Other	standardised green tea infusion (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_stimulant_003	1	defining ingredient	Other	standardised roasted coffee infusion (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_stimulant_004	1	defining ingredient	Other	standardised cocoa beverage (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_stimulant_005	1	defining ingredient	Other	standardised maté infusion (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_stimulant_006	1	defining ingredient	Other	standardised chicory coffee (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_stimulant_007	1	defining ingredient	Other	standardised instant coffee (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_stimulant_008	1	defining ingredient	Other	standardised milk tea (industrialised form)	same-graph	250	ml	
ingredient_industrial_food_stimulant_001	1	defining ingredient	Other	standardised black tea infusion (industrial form)	same-graph	250	ml	
ingredient_modern_food_stimulant_001	1	defining ingredient	Other	standardised black tea infusion (modern form)	same-graph	250	ml	
ingredient_modern_food_stimulant_002	1	defining ingredient	Other	standardised green tea infusion (modern form)	same-graph	250	ml	
ingredient_modern_food_stimulant_003	1	defining ingredient	Other	standardised roasted coffee infusion (modern form)	same-graph	250	ml	
ingredient_nuclear_food_stimulant_001	1	defining ingredient	Other	standardised black tea infusion (nuclear form)	same-graph	250	ml	
ingredient_information_food_stimulant_001	1	defining ingredient	Other	standardised black tea infusion (information form)	same-graph	250	ml	
ingredient_information_food_stimulant_002	1	defining ingredient	Other	standardised green tea infusion (information form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_001	1	defining ingredient	Other	standardised pale lager (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_002	1	defining ingredient	Other	standardised dark lager (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_003	1	defining ingredient	Other	standardised bottled ale (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_004	1	defining ingredient	Other	standardised fortified wine (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_005	1	defining ingredient	Other	standardised sparkling wine (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_006	1	defining ingredient	Other	standardised distilled grain spirit (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_007	1	defining ingredient	Other	standardised cane spirit (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_008	1	defining ingredient	Other	standardised fruit liqueur (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_009	1	defining ingredient	Other	standardised rice beer (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_010	1	defining ingredient	Other	standardised cider (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_011	1	defining ingredient	Other	institutional pale lager (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_alcohol_012	1	defining ingredient	Other	institutional dark lager (industrialised form)	same-graph	250	ml	
ingredient_industrial_food_alcohol_001	1	defining ingredient	Other	standardised pale lager (industrial form)	same-graph	250	ml	
ingredient_industrial_food_alcohol_002	1	defining ingredient	Other	standardised dark lager (industrial form)	same-graph	250	ml	
ingredient_modern_food_alcohol_001	1	defining ingredient	Other	standardised pale lager (modern form)	same-graph	250	ml	
ingredient_modern_food_alcohol_002	1	defining ingredient	Other	standardised dark lager (modern form)	same-graph	250	ml	
ingredient_modern_food_alcohol_003	1	defining ingredient	Other	standardised bottled ale (modern form)	same-graph	250	ml	
ingredient_modern_food_alcohol_004	1	defining ingredient	Other	standardised fortified wine (modern form)	same-graph	250	ml	
ingredient_nuclear_food_alcohol_001	1	defining ingredient	Other	standardised pale lager (nuclear form)	same-graph	250	ml	
ingredient_information_food_alcohol_001	1	defining ingredient	Other	standardised pale lager (information form)	same-graph	250	ml	
ingredient_information_food_alcohol_002	1	defining ingredient	Other	standardised dark lager (information form)	same-graph	250	ml	
ingredient_industrialised_food_beverage_intermediate_001	1	defining ingredient	Other	standardised coffee concentrate (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_beverage_intermediate_002	1	defining ingredient	Other	standardised tea concentrate (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_beverage_intermediate_003	1	defining ingredient	Other	standardised fruit syrup (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_beverage_intermediate_004	1	defining ingredient	Other	standardised malted drink extract (industrialised form)	same-graph	250	ml	
ingredient_industrialised_food_beverage_intermediate_005	1	defining ingredient	Other	standardised instant drink powder (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_beverage_intermediate_006	1	defining ingredient	Other	standardised cocoa drink powder (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_beverage_intermediate_007	1	defining ingredient	Other	standardised carbonation syrup (industrialised form)	same-graph	100	g	
ingredient_industrialised_food_beverage_intermediate_008	1	defining ingredient	Other	standardised dried tea leaves (industrialised form)	same-graph	100	g	
ingredient_industrial_food_beverage_intermediate_001	1	defining ingredient	Other	standardised coffee concentrate (industrial form)	same-graph	250	ml	
ingredient_modern_food_beverage_intermediate_001	1	defining ingredient	Other	standardised coffee concentrate (modern form)	same-graph	250	ml	
ingredient_modern_food_beverage_intermediate_002	1	defining ingredient	Other	standardised tea concentrate (modern form)	same-graph	100	g	
ingredient_nuclear_food_beverage_intermediate_001	1	defining ingredient	Other	standardised coffee concentrate (nuclear form)	same-graph	250	ml	
ingredient_information_food_beverage_intermediate_001	1	defining ingredient	Other	standardised coffee concentrate (information form)	same-graph	250	ml	
