StableReference	Kind	Mechanisation	ReviewState
route_information_food_ration_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_ration_002	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_ration_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_infant_dietetic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_infant_dietetic_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_infant_dietetic_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_infant_dietetic_004	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_infant_dietetic_005	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_infant_dietetic_006	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_infant_dietetic_007	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_infant_dietetic_008	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_infant_dietetic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_infant_dietetic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_infant_dietetic_002	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_infant_dietetic_003	planned-production	period-and-concept-specific	DependencyReviewed
route_nuclear_food_infant_dietetic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_nuclear_food_infant_dietetic_002	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_infant_dietetic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_infant_dietetic_002	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_infant_dietetic_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_animal_feed_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_animal_feed_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_animal_feed_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_animal_feed_004	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_animal_feed_005	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_animal_feed_006	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_animal_feed_007	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_animal_feed_008	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_animal_feed_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_animal_feed_002	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_animal_feed_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_animal_feed_002	planned-production	period-and-concept-specific	DependencyReviewed
route_nuclear_food_animal_feed_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_animal_feed_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_animal_feed_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_004	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_005	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_006	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_007	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_008	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_009	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_010	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_011	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_non_alcoholic_012	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_non_alcoholic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_non_alcoholic_002	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_non_alcoholic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_non_alcoholic_002	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_non_alcoholic_003	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_non_alcoholic_004	planned-production	period-and-concept-specific	DependencyReviewed
route_nuclear_food_non_alcoholic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_nuclear_food_non_alcoholic_002	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_non_alcoholic_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_non_alcoholic_002	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_non_alcoholic_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_stimulant_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_stimulant_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_stimulant_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_stimulant_004	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_stimulant_005	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_stimulant_006	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_stimulant_007	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_stimulant_008	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_stimulant_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_stimulant_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_stimulant_002	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_stimulant_003	planned-production	period-and-concept-specific	DependencyReviewed
route_nuclear_food_stimulant_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_stimulant_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_stimulant_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_004	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_005	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_006	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_007	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_008	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_009	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_010	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_011	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_alcohol_012	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_alcohol_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_alcohol_002	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_alcohol_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_alcohol_002	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_alcohol_003	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_alcohol_004	planned-production	period-and-concept-specific	DependencyReviewed
route_nuclear_food_alcohol_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_alcohol_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_alcohol_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_beverage_intermediate_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_beverage_intermediate_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_beverage_intermediate_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_beverage_intermediate_004	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_beverage_intermediate_005	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_beverage_intermediate_006	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_beverage_intermediate_007	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_beverage_intermediate_008	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_beverage_intermediate_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_beverage_intermediate_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_beverage_intermediate_002	planned-production	period-and-concept-specific	DependencyReviewed
route_nuclear_food_beverage_intermediate_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_beverage_intermediate_001	planned-production	period-and-concept-specific	DependencyReviewed
