StableReference	ConsumerReference	ProductionRole	ReviewState
preindustrial_food_tied_raw_meat_roll	industrialised_food_composite_025	historical intermediate input or service dependency for industrialised_food_composite_025	DependencyReviewed
preindustrial_food_stuffed_raw_fowl	industrialised_food_composite_026	historical intermediate input or service dependency for industrialised_food_composite_026	DependencyReviewed
preindustrial_food_brined_meat_joint	industrialised_food_composite_027	historical intermediate input or service dependency for industrialised_food_composite_027	DependencyReviewed
preindustrial_food_spice_cured_meat_joint	industrialised_food_composite_028	historical intermediate input or service dependency for industrialised_food_composite_028	DependencyReviewed
preindustrial_food_fresh_meat_skewers	industrial_food_composite_001	historical intermediate input or service dependency for industrial_food_composite_001	DependencyReviewed
preindustrial_food_uncooked_meat_loaf	industrial_food_composite_002	historical intermediate input or service dependency for industrial_food_composite_002	DependencyReviewed
preindustrial_food_cleaned_offal_set	industrial_food_composite_003	historical intermediate input or service dependency for industrial_food_composite_003	DependencyReviewed
preindustrial_food_prepared_tripe	industrial_food_composite_004	historical intermediate input or service dependency for industrial_food_composite_004	DependencyReviewed
preindustrial_food_prepared_intestine_casings	industrial_food_composite_005	historical intermediate input or service dependency for industrial_food_composite_005	DependencyReviewed
preindustrial_food_poultry_stuffing_mix	modern_food_composite_001	historical intermediate input or service dependency for modern_food_composite_001	DependencyReviewed
preindustrial_food_dried_noodle_bundle	modern_food_composite_002	historical intermediate input or service dependency for modern_food_composite_002	DependencyReviewed
preindustrial_food_fresh_noodle_bundle	modern_food_composite_003	historical intermediate input or service dependency for modern_food_composite_003	DependencyReviewed
preindustrial_food_rice_noodle_sheet	modern_food_composite_004	historical intermediate input or service dependency for modern_food_composite_004	DependencyReviewed
preindustrial_food_noodle_dough_coil	modern_food_composite_005	historical intermediate input or service dependency for modern_food_composite_005	DependencyReviewed
preindustrial_food_dumpling_wrappers	modern_food_composite_006	historical intermediate input or service dependency for modern_food_composite_006	DependencyReviewed
preindustrial_food_rice_dumpling_wrappers	modern_food_composite_007	historical intermediate input or service dependency for modern_food_composite_007	DependencyReviewed
preindustrial_food_maize_dumpling_dough	modern_food_composite_008	historical intermediate input or service dependency for modern_food_composite_008	DependencyReviewed
preindustrial_food_savoury_dumpling_filling	modern_food_composite_009	historical intermediate input or service dependency for modern_food_composite_009	DependencyReviewed
preindustrial_food_meat_dumpling_filling	nuclear_food_composite_001	historical intermediate input or service dependency for nuclear_food_composite_001	DependencyReviewed
preindustrial_food_sweet_dumpling_filling	nuclear_food_composite_002	historical intermediate input or service dependency for nuclear_food_composite_002	DependencyReviewed
preindustrial_food_trimmed_meat_for_drying	nuclear_food_composite_003	historical intermediate input or service dependency for nuclear_food_composite_003	DependencyReviewed
preindustrial_food_salted_uncured_meat_strips	information_food_composite_001	historical intermediate input or service dependency for information_food_composite_001	DependencyReviewed
preindustrial_food_tied_smokehouse_meat_joint	information_food_composite_002	historical intermediate input or service dependency for information_food_composite_002	DependencyReviewed
preindustrial_food_filled_uncured_sausage_ring	information_food_composite_003	historical intermediate input or service dependency for information_food_composite_003	DependencyReviewed
preindustrial_food_pounded_meat_ration_mixture	information_food_composite_004	historical intermediate input or service dependency for information_food_composite_004	DependencyReviewed
preindustrial_food_split_fish_for_drying	information_food_composite_005	historical intermediate input or service dependency for information_food_composite_005	DependencyReviewed
preindustrial_food_salted_unsmoked_fish_bundle	industrialised_food_preserve_condiment_001	historical intermediate input or service dependency for industrialised_food_preserve_condiment_001	DependencyReviewed
preindustrial_food_pounded_dry_fish_meal	industrialised_food_preserve_condiment_002	historical intermediate input or service dependency for industrialised_food_preserve_condiment_002	DependencyReviewed
preindustrial_food_soaked_grain_for_ration_cakes	industrialised_food_preserve_condiment_003	historical intermediate input or service dependency for industrialised_food_preserve_condiment_003	DependencyReviewed
preindustrial_food_shaped_unbaked_ration_bricks	industrialised_food_preserve_condiment_004	historical intermediate input or service dependency for industrialised_food_preserve_condiment_004	DependencyReviewed
preindustrial_food_spread_fruit_pulp_drying_sheet	industrialised_food_preserve_condiment_005	historical intermediate input or service dependency for industrialised_food_preserve_condiment_005	DependencyReviewed
preindustrial_food_salted_vegetables_before_pickling	industrialised_food_preserve_condiment_006	historical intermediate input or service dependency for industrialised_food_preserve_condiment_006	DependencyReviewed
preindustrial_food_pressed_greens_drying_cake	industrialised_food_preserve_condiment_007	historical intermediate input or service dependency for industrialised_food_preserve_condiment_007	DependencyReviewed
preindustrial_food_mixed_travel_ration_mash	industrialised_food_preserve_condiment_008	historical intermediate input or service dependency for industrialised_food_preserve_condiment_008	DependencyReviewed
preindustrial_food_filled_unsealed_preserve_crock	industrialised_food_preserve_condiment_009	historical intermediate input or service dependency for industrialised_food_preserve_condiment_009	DependencyReviewed
preindustrial_food_clear_bone_broth	industrialised_food_preserve_condiment_010	historical liquid input or service dependency for industrialised_food_preserve_condiment_010	DependencyReviewed
preindustrial_food_roasted_bone_stock	industrialised_food_preserve_condiment_011	historical liquid input or service dependency for industrialised_food_preserve_condiment_011	DependencyReviewed
preindustrial_food_beef_stock	industrialised_food_preserve_condiment_012	historical liquid input or service dependency for industrialised_food_preserve_condiment_012	DependencyReviewed
preindustrial_food_mutton_stock	industrialised_food_preserve_condiment_013	historical liquid input or service dependency for industrialised_food_preserve_condiment_013	DependencyReviewed
preindustrial_food_pork_stock	industrialised_food_preserve_condiment_014	historical liquid input or service dependency for industrialised_food_preserve_condiment_014	DependencyReviewed
preindustrial_food_fowl_stock	industrial_food_preserve_condiment_001	historical liquid input or service dependency for industrial_food_preserve_condiment_001	DependencyReviewed
preindustrial_food_game_stock	industrial_food_preserve_condiment_002	historical liquid input or service dependency for industrial_food_preserve_condiment_002	DependencyReviewed
preindustrial_food_fish_stock	industrial_food_preserve_condiment_003	historical liquid input or service dependency for industrial_food_preserve_condiment_003	DependencyReviewed
preindustrial_food_shellfish_stock	modern_food_preserve_condiment_001	historical liquid input or service dependency for modern_food_preserve_condiment_001	DependencyReviewed
preindustrial_food_mushroom_stock	modern_food_preserve_condiment_002	historical liquid input or service dependency for modern_food_preserve_condiment_002	DependencyReviewed
preindustrial_food_root_vegetable_stock	modern_food_preserve_condiment_003	historical liquid input or service dependency for modern_food_preserve_condiment_003	DependencyReviewed
preindustrial_food_green_vegetable_stock	modern_food_preserve_condiment_004	historical liquid input or service dependency for modern_food_preserve_condiment_004	DependencyReviewed
preindustrial_food_onion_stock	nuclear_food_preserve_condiment_001	historical liquid input or service dependency for nuclear_food_preserve_condiment_001	DependencyReviewed
preindustrial_food_garlic_broth_liquid	information_food_preserve_condiment_001	historical liquid input or service dependency for information_food_preserve_condiment_001	DependencyReviewed
preindustrial_food_herb_broth_liquid	information_food_preserve_condiment_002	historical liquid input or service dependency for information_food_preserve_condiment_002	DependencyReviewed
preindustrial_food_grain_cooking_broth	industrialised_food_intermediate_001	historical liquid input or service dependency for industrialised_food_intermediate_001	DependencyReviewed
preindustrial_food_pulse_cooking_broth	industrialised_food_intermediate_002	historical liquid input or service dependency for industrialised_food_intermediate_002	DependencyReviewed
preindustrial_food_spiced_meat_broth	industrialised_food_intermediate_003	historical liquid input or service dependency for industrialised_food_intermediate_003	DependencyReviewed
preindustrial_food_sour_herb_broth	industrialised_food_intermediate_004	historical liquid input or service dependency for industrialised_food_intermediate_004	DependencyReviewed
preindustrial_food_marrow_broth_liquid	industrialised_food_intermediate_005	historical liquid input or service dependency for industrialised_food_intermediate_005	DependencyReviewed
preindustrial_food_cultured_cow_dairy_drink	industrialised_food_intermediate_006	historical liquid input or service dependency for industrialised_food_intermediate_006	DependencyReviewed
preindustrial_food_cultured_sheep_dairy_drink	industrialised_food_intermediate_007	historical liquid input or service dependency for industrialised_food_intermediate_007	DependencyReviewed
preindustrial_food_cultured_goat_dairy_drink	industrialised_food_intermediate_008	historical liquid input or service dependency for industrialised_food_intermediate_008	DependencyReviewed
preindustrial_food_thinned_yoghurt_drink	industrialised_food_intermediate_009	historical liquid input or service dependency for industrialised_food_intermediate_009	DependencyReviewed
preindustrial_food_herbed_yoghurt_drink	industrialised_food_intermediate_010	historical liquid input or service dependency for industrialised_food_intermediate_010	DependencyReviewed
preindustrial_food_honeyed_cultured_dairy	industrialised_food_intermediate_011	historical liquid input or service dependency for industrialised_food_intermediate_011	DependencyReviewed
preindustrial_food_spiced_cultured_dairy	industrialised_food_intermediate_012	historical liquid input or service dependency for industrialised_food_intermediate_012	DependencyReviewed
preindustrial_food_sweet_whey_drink	industrialised_food_intermediate_013	historical liquid input or service dependency for industrialised_food_intermediate_013	DependencyReviewed
preindustrial_food_soured_whey_drink	industrialised_food_intermediate_014	historical liquid input or service dependency for industrialised_food_intermediate_014	DependencyReviewed
preindustrial_food_buttermilk_table_drink	industrial_food_intermediate_001	historical liquid input or service dependency for industrial_food_intermediate_001	DependencyReviewed
preindustrial_food_brown_meat_sauce	industrial_food_intermediate_002	historical liquid input or service dependency for industrial_food_intermediate_002	DependencyReviewed
preindustrial_food_light_fowl_sauce	industrial_food_intermediate_003	historical liquid input or service dependency for industrial_food_intermediate_003	DependencyReviewed
preindustrial_food_fish_savour_sauce	modern_food_intermediate_001	historical liquid input or service dependency for modern_food_intermediate_001	DependencyReviewed
preindustrial_food_shellfish_reduction	modern_food_intermediate_002	historical liquid input or service dependency for modern_food_intermediate_002	DependencyReviewed
preindustrial_food_mushroom_reduction_sauce	modern_food_intermediate_003	historical liquid input or service dependency for modern_food_intermediate_003	DependencyReviewed
preindustrial_food_onion_gravy	modern_food_intermediate_004	historical liquid input or service dependency for modern_food_intermediate_004	DependencyReviewed
preindustrial_food_garlic_herb_sauce	nuclear_food_intermediate_001	historical liquid input or service dependency for nuclear_food_intermediate_001	DependencyReviewed
preindustrial_food_sour_herb_sauce	nuclear_food_intermediate_002	historical liquid input or service dependency for nuclear_food_intermediate_002	DependencyReviewed
preindustrial_food_yoghurt_sauce	information_food_intermediate_001	historical liquid input or service dependency for information_food_intermediate_001	DependencyReviewed
preindustrial_food_cheese_sauce	information_food_intermediate_002	historical liquid input or service dependency for information_food_intermediate_002	DependencyReviewed
preindustrial_food_nut_sauce	industrialised_food_dessert_001	historical liquid input or service dependency for industrialised_food_dessert_001	DependencyReviewed
preindustrial_food_fruit_meat_sauce	industrialised_food_dessert_002	historical liquid input or service dependency for industrialised_food_dessert_002	DependencyReviewed
preindustrial_food_chili_savour_sauce	industrialised_food_dessert_003	historical liquid input or service dependency for industrialised_food_dessert_003	DependencyReviewed
preindustrial_food_cacao_savour_sauce	industrialised_food_dessert_004	historical liquid input or service dependency for industrialised_food_dessert_004	DependencyReviewed
preindustrial_food_walnut_cooking_oil	industrialised_food_dessert_005	historical liquid input or service dependency for industrialised_food_dessert_005	DependencyReviewed
preindustrial_food_hazelnut_cooking_oil	industrialised_food_dessert_006	historical liquid input or service dependency for industrialised_food_dessert_006	DependencyReviewed
preindustrial_food_almond_cooking_oil	industrialised_food_dessert_007	historical liquid input or service dependency for industrialised_food_dessert_007	DependencyReviewed
preindustrial_food_poppyseed_cooking_oil	industrialised_food_dessert_008	historical liquid input or service dependency for industrialised_food_dessert_008	DependencyReviewed
preindustrial_food_linseed_cooking_oil	industrialised_food_dessert_009	historical liquid input or service dependency for industrialised_food_dessert_009	DependencyReviewed
preindustrial_food_hempseed_cooking_oil	industrialised_food_dessert_010	historical liquid input or service dependency for industrialised_food_dessert_010	DependencyReviewed
preindustrial_food_mustard_seed_oil	industrialised_food_dessert_011	historical liquid input or service dependency for industrialised_food_dessert_011	DependencyReviewed
preindustrial_food_palm_fruit_oil	industrialised_food_dessert_012	historical liquid input or service dependency for industrialised_food_dessert_012	DependencyReviewed
preindustrial_food_coconut_cooking_oil	industrialised_food_dessert_013	historical liquid input or service dependency for industrialised_food_dessert_013	DependencyReviewed
preindustrial_food_grapeseed_cooking_oil	industrialised_food_dessert_014	historical liquid input or service dependency for industrialised_food_dessert_014	DependencyReviewed
preindustrial_food_dark_grain_vinegar	industrialised_food_dessert_015	historical liquid input or service dependency for industrialised_food_dessert_015	DependencyReviewed
preindustrial_food_pale_grain_vinegar	industrialised_food_dessert_016	historical liquid input or service dependency for industrialised_food_dessert_016	DependencyReviewed
preindustrial_food_rice_vinegar	industrialised_food_dessert_017	historical liquid input or service dependency for industrialised_food_dessert_017	DependencyReviewed
preindustrial_food_apple_vinegar	industrialised_food_dessert_018	historical liquid input or service dependency for industrialised_food_dessert_018	DependencyReviewed
preindustrial_food_pear_vinegar	industrial_food_dessert_001	historical liquid input or service dependency for industrial_food_dessert_001	DependencyReviewed
preindustrial_food_plum_vinegar	industrial_food_dessert_002	historical liquid input or service dependency for industrial_food_dessert_002	DependencyReviewed
preindustrial_food_berry_vinegar	industrial_food_dessert_003	historical liquid input or service dependency for industrial_food_dessert_003	DependencyReviewed
preindustrial_food_date_vinegar	modern_food_dessert_001	historical liquid input or service dependency for modern_food_dessert_001	DependencyReviewed
preindustrial_food_honey_vinegar	modern_food_dessert_002	historical liquid input or service dependency for modern_food_dessert_002	DependencyReviewed
preindustrial_food_herbed_vinegar	modern_food_dessert_003	historical liquid input or service dependency for modern_food_dessert_003	DependencyReviewed
preindustrial_food_plain_honey_syrup	modern_food_dessert_004	historical liquid input or service dependency for modern_food_dessert_004	DependencyReviewed
preindustrial_food_spiced_honey_syrup	modern_food_dessert_005	historical liquid input or service dependency for modern_food_dessert_005	DependencyReviewed
preindustrial_food_grape_reduction_syrup	modern_food_dessert_006	historical liquid input or service dependency for modern_food_dessert_006	DependencyReviewed
preindustrial_food_date_reduction_syrup	nuclear_food_dessert_001	historical liquid input or service dependency for nuclear_food_dessert_001	DependencyReviewed
preindustrial_food_fig_reduction_syrup	nuclear_food_dessert_002	historical liquid input or service dependency for nuclear_food_dessert_002	DependencyReviewed
preindustrial_food_apple_reduction_syrup	information_food_dessert_001	historical liquid input or service dependency for information_food_dessert_001	DependencyReviewed
preindustrial_food_berry_reduction_syrup	information_food_dessert_002	historical liquid input or service dependency for information_food_dessert_002	DependencyReviewed
preindustrial_food_sugar_cooking_syrup	information_food_dessert_003	historical liquid input or service dependency for information_food_dessert_003	DependencyReviewed
